始発停留所	田上住宅	田上住宅	田上住宅	田上住宅	田上住宅	田上住宅				
始発時間	08:00	08:30	09:35	11:45	15:40	17:35				
終点時間	08:39	09:09	10:14	12:24	16:19	18:14				
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】				
備考	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
田上住宅	08:00	08:30	09:35	11:45	15:40	17:35				
田上一丁目-A	08:01	08:31	09:36	11:46	15:41	17:36				
加賀田上-B	08:02	08:32	09:37	11:47	15:42	17:37				
下田上-B	08:03	08:33	09:38	11:48	15:43	17:38				
山環田上-D	08:04	08:34	09:39	11:49	15:44	17:39				
旭町一丁目（小立野方向）	08:05	08:35	09:40	11:50	15:45	17:40				
小立野２丁目	08:07	08:37	09:42	11:52	15:47	17:42				
小立野三丁目-B	08:09	08:39	09:44	11:54	15:49	17:44				
天徳院前-B	08:10	08:40	09:45	11:55	15:50	17:45				
小立野-B	08:12	08:42	09:47	11:57	15:52	17:47				
石引町-B	08:13	08:43	09:48	11:58	15:53	17:48				
出羽町-B	08:14	08:44	09:49	11:59	15:54	17:49				
兼六園下（物産館前）	08:17	08:47	09:52	12:02	15:57	17:52				
兼六園下（石川門）	08:17	08:47	09:52	12:02	15:57	17:52				
広坂（金沢２１世紀美術館前）	08:19	08:49	09:54	12:04	15:59	17:54				
香林坊（日銀前）	08:21	08:51	09:56	12:06	16:01	17:56				
南町-B	08:23	08:53	09:58	12:08	16:03	17:58				
武蔵ヶ辻（エムザ前）	08:25	08:55	10:00	12:10	16:05	18:00				
リファーレ前-B	08:27	08:57	10:02	12:12	16:07	18:02				
金沢駅【降車場】	08:39	09:09	10:14	12:24	16:19	18:14				
