始発停留所	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	
始発時間	07:20	11:15	14:45	17:00	
終点時間	07:59	11:54	15:24	17:39	
終点停留所	田上住宅	田上住宅	田上住宅	田上住宅	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
金沢駅【６】	07:20	11:15	14:45	17:00	
リファーレ前-A	07:22	11:17	14:47	17:02	
武蔵ヶ辻（近江町市場前）	07:24	11:20	14:50	17:05	
南町-A	07:25	11:22	14:52	17:07	
香林坊（アトリオ前）	07:27	11:24	14:54	17:09	
香林坊（中央公園前）	07:27	11:24	14:54	17:09	
広坂（しいのき迎賓館前）	07:28	11:25	14:55	17:10	
兼六園下（県駐車場前）	07:30	11:27	14:57	17:12	
出羽町-A	07:33	11:30	15:00	17:15	
石引町-A	07:34	11:31	15:01	17:16	
小立野-A	07:35	11:32	15:02	17:17	
如来寺前（金商方向）	07:36	11:33	15:03	17:18	
金商高校前	07:37	11:34	15:04	17:19	
小立野２丁目	07:38	11:35	15:05	17:20	
旭町一丁目（小立野から）	07:39	11:36	15:06	17:21	
山環田上-C	07:41	11:38	15:08	17:23	
下田上-A	07:42	11:39	15:09	17:24	
加賀田上-A	07:43	11:40	15:10	17:25	
田上一丁目-B	07:44	11:41	15:11	17:26	
田上住宅	07:59	11:54	15:24	17:39	
