始発停留所	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	中央病院前	野町駅-B	中央病院前	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B
始発時間	06:56	07:13	07:32	08:49	10:02	10:55	11:20	12:00	13:20	14:35	15:45	16:51	18:22	19:14	20:33
終点時間	07:36	07:50	08:17	09:34	10:45	11:14	12:03	12:19	14:03	15:18	16:28	17:34	19:07	19:54	21:13
終点停留所	畝田住宅	工業試験場	畝田住宅	畝田住宅	畝田住宅	大野港（始発）	畝田住宅	大野港（始発）	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス
野町駅-B	06:56	07:13	07:32	08:49	10:02		11:20		13:20	14:35	15:45	16:51	18:22	19:14	20:33
広小路（有松から）	06:58	07:15	07:34	08:51	10:04		11:22		13:22	14:37	15:47	16:53	18:24	19:16	20:35
片町（ラブロ前）	07:01	07:18	07:37	08:54	10:07		11:25		13:25	14:40	15:50	16:56	18:27	19:19	20:38
香林坊（日銀前）	07:02	07:19	07:38	08:55	10:08		11:26		13:26	14:41	15:51	16:57	18:28	19:20	20:39
南町-B	07:03	07:20	07:40	08:56	10:09		11:27		13:27	14:42	15:52	16:58	18:30	19:21	20:40
武蔵ヶ辻（エムザ前）	07:05	07:22	07:42	08:58	10:11		11:29		13:29	14:44	15:54	17:00	18:32	19:23	20:42
武蔵ヶ辻（スカイ前）	07:05	07:22	07:42	08:58	10:11		11:29		13:29	14:44	15:54	17:00	18:32	19:23	20:42
六枚町（金石方向）	07:08	07:25	07:45	09:01	10:14		11:32		13:32	14:47	15:57	17:03	18:35	19:26	20:45
広岡口（朱鷺の苑前）	07:10	07:27	07:47	09:03	10:16		11:34		13:34	14:49	15:59	17:05	18:37	19:28	20:47
金沢駅西口降車	07:14	07:31	07:52	09:08	10:20		11:38		13:38	14:53	16:03	17:09	18:42	19:32	20:51
金沢駅西口【６】	07:14	07:31	07:52	09:08	10:20		11:38		13:38	14:53	16:03	17:09	18:42	19:32	20:51
広岡-A	07:16	07:33	07:54	09:10	10:22		11:40		13:40	14:55	16:05	17:11	18:44	19:34	20:53
西念南-A	07:17	07:34	07:55	09:11	10:23		11:41		13:41	14:56	16:06	17:12	18:45	19:35	20:54
西念西-A	07:18	07:35	07:56	09:12	10:24		11:42		13:42	14:57	16:07	17:13	18:46	19:36	20:55
駅西合庁前（西念南から）	07:19	07:36	07:57	09:13	10:25		11:43		13:43	14:58	16:08	17:14	18:47	19:37	20:56
中央病院前	-	-	-	-	-	10:55	-	12:00	-	-	-	-	-	-	-
映寿会みらい病院	-	-	-	-	-	10:56	-	12:01	-	-	-	-	-	-	-
県庁前-A	07:22	07:39	08:00	09:16	10:28	10:57	11:46	12:02	13:46	15:01	16:11	17:17	18:50	19:40	20:59
藤江北-A	07:23	07:40	08:01	09:17	10:29	10:58	11:47	12:03	13:47	15:02	16:12	17:18	18:51	19:41	21:00
市立工業高校東口	-	07:41	-	-	-	-	-	-	-	-	-	-	-	-	-
金沢西高校-A	-	07:42	-	-	-	-	-	-	-	-	-	-	-	-	-
工業試験場	-	07:50	-	-	-	-	-	-	-	-	-	-	-	-	-
松村-A	07:24		08:02	09:18	10:30	10:59	11:48	12:04	13:48	15:03	16:13	17:19	18:52	19:42	21:01
市立工業高校前-A	07:25		08:03	09:19	10:31	11:00	11:49	12:05	13:49	15:04	16:14	17:20	18:53	19:43	21:02
畝田-A	07:26		08:04	09:20	10:32	11:01	11:50	12:06	13:50	15:05	16:15	17:21	18:54	19:44	21:03
畝田西-A	07:27		08:05	09:21	10:33	-	11:51	-	13:51	15:06	16:16	17:22	18:55	19:45	21:04
畝田中-A	07:27		08:05	09:21	10:33	-	11:51	-	13:51	15:06	16:16	17:22	18:55	19:45	21:04
畝田中三丁目-A	07:28		08:06	09:22	10:34	-	11:52	-	13:52	15:07	16:17	17:23	18:56	19:46	21:05
畝田住宅	07:36		08:17	09:34	10:45	-	12:03	-	14:03	15:18	16:28	17:34	19:07	19:54	21:13
観音堂-A						11:02		12:07							
寺中-A						11:04		12:09							
西警察署前-A						11:05		12:10							
金石-A						11:06		12:11							
金石東-A						11:07		12:12							
金石北-A						11:08		12:13							
桂町-A						11:10		12:15							
桂町東（大野港方向）						11:11		12:16							
大野港（始発）						11:14		12:19							
