始発停留所	畝田住宅	畝田住宅	金石-A	金石-A	畝田住宅	畝田住宅	畝田住宅	大野港（始発）	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅			
始発時間	06:27	07:02	07:10	07:18	07:20	07:50	08:10	08:40	09:05	09:47	11:07	12:23	13:42	15:27	16:51	17:45	19:05			
終点時間	06:53	07:42	07:53	08:01	08:00	08:35	08:41	09:09	09:48	10:30	11:50	13:06	14:25	16:10	17:34	18:30	19:45			
終点停留所	兼六園下（北鉄車庫前）	野町駅-B	星稜高校（駐車場内）	如来寺前（旭町方向）	野町駅-B	野町駅-B	兼六園下（北鉄車庫前）	金沢駅西口降車	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B			
備考	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			
大野港（始発）								08:40												
桂町東（大野港から）								08:41												
桂町-B								08:42												
金石北-B								08:44												
金石東-B								08:45												
金石-A			07:10	07:18				08:47												
西警察署前-B			07:11	07:19				08:48												
寺中-B			07:12	07:20				08:49												
観音堂-B			07:14	07:22				08:51												
畝田住宅	06:27	07:02	-	-	07:20	07:50	08:10	-	09:05	09:47	11:07	12:23	13:42	15:27	16:51	17:45	19:05			
畝田中三丁目-B	06:27	07:02	-	-	07:20	07:50	08:10	-	09:05	09:47	11:07	12:23	13:42	15:27	16:51	17:45	19:05			
畝田中-B	06:29	07:04	-	-	07:22	07:52	08:12	-	09:07	09:49	11:09	12:25	13:44	15:29	16:53	17:47	19:07			
畝田西-B	06:29	07:04	-	-	07:22	07:52	08:12	-	09:07	09:49	11:09	12:25	13:44	15:29	16:53	17:47	19:07			
畝田-B	06:30	07:05	07:15	07:23	07:23	07:53	08:13	08:52	09:08	09:50	11:10	12:26	13:45	15:30	16:54	17:48	19:08			
市立工業高校前-B	06:31	07:06	07:16	07:24	07:24	07:54	08:14	08:53	09:09	09:51	11:11	12:27	13:46	15:31	16:55	17:49	19:09			
松村-B	-	07:07	-	-	07:25	07:55	-	08:54	09:10	09:52	11:12	12:28	13:47	15:32	16:56	17:50	19:10			
藤江北-B	-	07:08	-	-	07:26	07:56	-	08:55	09:11	09:53	11:13	12:29	13:48	15:33	16:57	17:51	19:11			
県庁前-C	-	07:10	-	-	07:28	07:58	-	08:57	09:13	09:55	11:15	12:31	13:50	15:35	16:59	17:53	19:13			
中央病院前	-	-	-	-	-	-	-	08:59	-	-	-	-	-	-	-	-	-			
映寿会みらい病院	-	-	-	-	-	-	-	09:00	-	-	-	-	-	-	-	-	-			
駅西合庁前（西念南方向）	-	07:13	-	-	07:31	08:01	-	09:03	09:16	09:58	11:18	12:34	13:53	15:38	17:02	17:56	19:16			
西念西-B	-	07:14	-	-	07:32	08:02	-	09:04	09:17	09:59	11:19	12:35	13:54	15:39	17:03	17:57	19:17			
西念南-B	-	07:15	-	-	07:33	08:03	-	09:05	09:18	10:00	11:20	12:36	13:55	15:40	17:04	17:58	19:18			
広岡-B	-	07:17	-	-	07:35	08:05	-	09:07	09:20	10:02	11:22	12:38	13:57	15:42	17:06	18:00	19:20			
金沢駅西口降車	-	07:19	-	-	07:37	08:09	-	09:09	09:22	10:04	11:24	12:40	13:59	15:44	17:08	18:04	19:22			
金沢駅西口【５】	-	07:19	-	-	07:37	08:09	-		09:22	10:04	11:24	12:40	13:59	15:44	17:08	18:04	19:22			
広岡口（中橋方向）	-	07:21	-	-	07:39	08:11	-		09:24	10:06	11:26	12:42	14:01	15:46	17:10	18:06	19:24			
藤江-B	06:32	-	07:17	07:25	-	-	08:15		-	-	-	-	-	-	-	-	-			
北町西-B	06:34	-	07:19	07:27	-	-	08:17		-	-	-	-	-	-	-	-	-			
北町-B	06:35	-	07:20	07:28	-	-	08:18		-	-	-	-	-	-	-	-	-			
中央市場口-B	06:36	-	07:22	07:30	-	-	08:19		-	-	-	-	-	-	-	-	-			
長田町-B	06:38	-	07:24	07:32	-	-	08:21		-	-	-	-	-	-	-	-	-			
長田一丁目-B	06:39	-	07:25	07:33	-	-	08:22		-	-	-	-	-	-	-	-	-			
中橋-B	06:41	07:22	07:27	07:35	07:40	08:12	08:24		09:25	10:07	11:27	12:43	14:02	15:47	17:11	18:07	19:25			
六枚町（こんや湯前）	06:43	07:24	07:29	07:37	07:42	08:14	08:26		09:27	10:09	11:29	12:45	14:04	15:49	17:13	18:09	19:27			
武蔵ヶ辻（近江町市場前）	-	07:26	-	07:40	07:44	08:16	-		09:29	10:11	11:31	12:47	14:06	15:51	17:15	18:11	19:29			
武蔵ヶ辻（三井住友銀行）	06:45	-	-	-	-	-	08:28		-	-	-	-	-	-	-	-	-			
武蔵ヶ辻（横安江町）	-	-	07:32	-	-	-	-		-	-	-	-	-	-	-	-	-			
南町-A	06:47	07:27	-	07:42	07:46	08:18	08:30		09:31	10:13	11:33	12:49	14:08	15:53	17:17	18:13	19:31			
香林坊（アトリオ前）	-	07:29	-	07:44	07:48	08:20	-		09:33	10:15	11:35	12:51	14:10	15:55	17:19	18:15	19:33			
香林坊（中央公園前）	06:49	-	-	07:44	-	-	08:32		-	-	-	-	-	-	-	-	-			
広坂（しいのき迎賓館前）	06:50	-	-	07:45	-	-	08:33		-	-	-	-	-	-	-	-	-			
兼六園下（北鉄車庫前）	06:53	-	-	-	-	-	08:41		-	-	-	-	-	-	-	-	-			
兼六園下（県駐車場前）		-	-	07:47	-	-			-	-	-	-	-	-	-	-	-			
片町（パシオン前）		07:32	-	-	07:51	08:23			09:36	10:18	11:38	12:54	14:13	15:58	17:22	18:18	19:36			
広小路（有松方向）		07:34	-	-	07:53	08:25			09:38	10:20	11:40	12:56	14:15	16:00	17:24	18:20	19:38			
野町駅-B		07:42	-	-	08:00	08:35			09:48	10:30	11:50	13:06	14:25	16:10	17:34	18:30	19:45			
出羽町-A			-	07:50																
石引町-A			-	07:51																
小立野-A			-	07:52																
如来寺前（旭町方向）			-	08:01																
彦三-A			07:33																	
瓢箪町-A			07:34																	
小橋町-A			07:35																	
森山二丁目（山の上方向）			07:36																	
山の上（鳴和方向）			07:38																	
春日町（山の上から）			07:40																	
桜丘高校前-A			07:42																	
鳴和台-C			07:43																	
御所町-A			07:44																	
星稜高校（駐車場内）			07:53																	
