始発停留所	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅	畝田住宅
始発時間	06:45	07:57	09:08	10:28	11:47	13:07	14:17	15:24	17:45	19:04
終点時間	07:25	08:37	09:51	11:11	12:30	13:50	15:00	16:07	18:25	19:44
終点停留所	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B	野町駅-B
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス
大野港（始発）										
桂町東（大野港から）										
桂町-B										
金石北-B										
金石東-B										
金石-A										
西警察署前-B										
寺中-B										
観音堂-B										
畝田住宅	06:45	07:57	09:08	10:28	11:47	13:07	14:17	15:24	17:45	19:04
畝田中三丁目-B	06:45	07:57	09:08	10:28	11:47	13:07	14:17	15:24	17:45	19:04
畝田中-B	06:47	07:59	09:10	10:30	11:49	13:09	14:19	15:26	17:47	19:06
畝田西-B	06:47	07:59	09:10	10:30	11:49	13:09	14:19	15:26	17:47	19:06
畝田-B	06:48	08:00	09:11	10:31	11:50	13:10	14:20	15:27	17:48	19:07
市立工業高校前-B	06:49	08:01	09:12	10:32	11:51	13:11	14:21	15:28	17:49	19:08
松村-B	06:50	08:02	09:13	10:33	11:52	13:12	14:22	15:29	17:50	19:09
藤江北-B	06:51	08:03	09:14	10:34	11:53	13:13	14:23	15:30	17:51	19:10
県庁前-C	06:53	08:05	09:16	10:36	11:55	13:15	14:25	15:32	17:53	19:12
中央病院前	-	-	-	-	-	-	-	-	-	-
映寿会みらい病院	-	-	-	-	-	-	-	-	-	-
駅西合庁前（西念南方向）	06:56	08:08	09:19	10:39	11:58	13:18	14:28	15:35	17:56	19:15
西念西-B	06:57	08:09	09:20	10:40	11:59	13:19	14:29	15:36	17:57	19:16
西念南-B	06:58	08:10	09:21	10:41	12:00	13:20	14:30	15:37	17:58	19:17
広岡-B	07:00	08:12	09:23	10:43	12:02	13:22	14:32	15:39	18:00	19:19
金沢駅西口降車	07:02	08:14	09:25	10:45	12:04	13:24	14:34	15:41	18:02	19:21
金沢駅西口【５】	07:02	08:14	09:25	10:45	12:04	13:24	14:34	15:41	18:02	19:21
広岡口（中橋方向）	07:04	08:16	09:27	10:47	12:06	13:26	14:36	15:43	18:04	19:23
藤江-B	-	-	-	-	-	-	-	-	-	-
北町西-B	-	-	-	-	-	-	-	-	-	-
北町-B	-	-	-	-	-	-	-	-	-	-
中央市場口-B	-	-	-	-	-	-	-	-	-	-
長田町-B	-	-	-	-	-	-	-	-	-	-
長田一丁目-B	-	-	-	-	-	-	-	-	-	-
中橋-B	07:05	08:17	09:28	10:48	12:07	13:27	14:37	15:44	18:05	19:24
六枚町（こんや湯前）	07:07	08:19	09:30	10:50	12:09	13:29	14:39	15:46	18:07	19:26
武蔵ヶ辻（近江町市場前）	07:09	08:21	09:32	10:52	12:11	13:31	14:41	15:48	18:09	19:28
武蔵ヶ辻（三井住友銀行）	-	-	-	-	-	-	-	-	-	-
武蔵ヶ辻（横安江町）	-	-	-	-	-	-	-	-	-	-
南町-A	07:10	08:23	09:34	10:54	12:13	13:33	14:43	15:50	18:11	19:30
香林坊（アトリオ前）	07:12	08:25	09:36	10:56	12:15	13:35	14:45	15:52	18:13	19:32
香林坊（中央公園前）	-	-	-	-	-	-	-	-	-	-
広坂（しいのき迎賓館前）	-	-	-	-	-	-	-	-	-	-
兼六園下（北鉄車庫前）	-	-	-	-	-	-	-	-	-	-
兼六園下（県駐車場前）	-	-	-	-	-	-	-	-	-	-
片町（パシオン前）	07:15	08:28	09:39	10:59	12:18	13:38	14:48	15:55	18:16	19:35
広小路（有松方向）	07:17	08:30	09:41	11:01	12:20	13:40	14:50	15:57	18:18	19:37
野町駅-B	07:25	08:37	09:51	11:11	12:30	13:50	15:00	16:07	18:25	19:44
出羽町-A										
石引町-A										
小立野-A										
如来寺前（旭町方向）										
彦三-A										
瓢箪町-A										
小橋町-A										
森山二丁目（山の上方向）										
山の上（鳴和方向）										
春日町（山の上から）										
桜丘高校前-A										
鳴和台-C										
御所町-A										
星稜高校（駐車場内）										
