始発停留所	白山体験村	鶴来駅-C			
始発時間	06:30	10:55			
終点時間	08:10	11:25			
終点停留所	松任駅前	松任駅前			
備考					
白山体験村	06:30				
白峰車庫-A	06:32				
白峰	06:34				
白峰北口	06:35				
桑島温泉	06:38				
桑島	06:39				
深瀬	06:45				
手取ダム前	06:50				
東二口	06:52				
尾口支所前	06:54				
瀬女-A	06:56				
瀬戸野	06:57				
木滑新	06:59				
白山下	-				
上木滑-B	07:00				
下木滑	07:01				
市原	07:02				
瀬波橋	07:03				
佐良	07:04				
不老峡	07:06				
上吉野	07:07				
下吉野	07:08				
吉野工芸の里-A	07:09				
釜清水	-				
小学校前	-				
上野	-				
下野	-				
若原	-				
大日川	-				
黄門橋	07:10				
吉岡	07:12				
江津	07:14				
きりの里	07:14				
上福岡	07:15				
下福岡	07:16				
ふじが丘-B	07:17				
河内支所前	07:18				
口直海-B	07:18				
中島	07:20				
南白山町	07:21				
石川県浄水場口	07:22				
白山町中	07:22				
白山町	07:23				
一の宮-B	07:24				
今町-B	07:25				
白山青年の家前-B	07:26				
鶴来本町-B	07:27				
大国町-Z	07:28				
つるぎ病院前	07:30				
鶴来駅-C	07:33	10:55			
大国町-A	07:34	10:56			
本鶴来-B	07:35	10:57			
白山郷公園前-A	07:36	10:58			
春の木	07:37	10:59			
中村	07:38	11:00			
西の村	07:39	11:01			
上森島-B	07:40	11:02			
下森島-B	07:41	11:03			
名鉄森島-B	07:42	11:04			
中島口	07:43	11:05			
日向-A	07:44	11:06			
館畑農協前-A	07:45	11:07			
行町	07:46	11:08			
安養寺	07:48	11:10			
木津-B	07:50	11:12			
三浦-A	07:52	11:14			
翠星高校前-B	07:54	11:16			
松任中央病院-A	07:57	11:19			
総合運動公園東口-B	07:58	11:20			
白山市役所前-B	07:58	11:20			
松任合庁前-B	07:59	11:21			
蕪城通り-B	08:00	11:22			
広小路（松任）-B	08:01	11:23			
松任（松任広小路方向）	08:01	11:23			
松任駅前	08:10	11:25			
