始発停留所	五十洲	五十洲	五十洲	五十洲	
始発時間	07:20	09:00	13:50	17:00	
終点時間	07:52	09:32	14:22	17:32	
終点停留所	門前-A	門前-A	門前-A	門前-A	
備考					
五十洲	07:20	09:00	13:50	17:00	
鵜山	07:21	09:01	13:51	17:01	
七浦農協前	07:22	09:02	13:52	17:02	
皆月-A	07:23	09:03	13:53	17:03	
百成大角間-A	07:24	09:04	13:54	17:04	
井守上坂-A	07:26	09:06	13:56	17:06	
薄野-A	07:32	09:12	14:02	17:12	
清土-A	07:36	09:16	14:06	17:16	
濁池-A	07:37	09:17	14:07	17:17	
日砂子-A	07:39	09:19	14:09	17:19	
上中野屋-A	07:41	09:21	14:11	17:21	
中野屋-A	07:42	09:22	14:12	17:22	
浦上-B	07:44	09:24	14:14	17:24	
正仏-B	07:45	09:25	14:15	17:25	
田村-A	07:46	09:26	14:16	17:26	
本市口-A	07:47	09:27	14:17	17:27	
本市-A	07:48	09:28	14:18	17:28	
保健センター前-A	07:49	09:29	14:19	17:29	
広瀬-A	07:50	09:30	14:20	17:30	
日野尾-A	07:51	09:31	14:21	17:31	
門前-A	07:52	09:32	14:22	17:32	
