始発停留所	柳橋（始発）	東金沢駅	東金沢駅	今町（新道）	柳橋（始発）	東金沢駅	東金沢駅	東金沢駅	柳橋（始発）	柳橋（始発）	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	
始発時間	06:14	06:40	07:00	07:00	07:13	07:25	07:30	07:47	08:05	08:35	09:15	10:00	10:40	11:30	12:40	13:40	14:40	15:30	15:50	16:30	17:00	17:30	18:20	19:35	
終点時間	06:50	07:17	07:37	07:50	07:51	08:02	07:36	08:34	08:48	09:11	09:48	10:33	11:13	12:05	13:17	14:17	15:17	16:07	16:27	17:07	17:37	18:05	18:55	20:08	
終点停留所	平和町市立病院	金大附校自衛隊前-B	金大附校自衛隊前-B	辰巳丘高校-B	金大附校自衛隊前-B	金大附校自衛隊前-B	星稜高校（駐車場内）	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町市立病院	
備考				学期休み期間、運休			学期休み期間、運休									ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス			
今町（新道）				07:00																					
観法寺-B				07:01																					
南森本-B				07:03																					
森本駅前-B				07:05																					
百坂-B				07:07																					
法光寺-B				07:08																					
柳橋（森本から）				07:09																					
柳橋（始発）	06:14			-	07:13				08:05	08:35															
神谷内-B	06:15			07:10	07:14				08:06	08:36															
小坂中-B	06:16			07:11	07:15				08:08	08:37															
東金沢駅	-	06:40	07:00	-	-	07:25	07:30	07:47	-	-	09:15	10:00	10:40	11:30	12:40	13:40	14:40	15:30	15:50	16:30	17:00	17:30	18:20	19:35	
東金沢駅東口-A	-	06:41	07:01	-	-	07:26	-	07:48	-	-	09:16	10:01	10:41	11:31	12:41	13:41	14:41	15:31	15:51	16:31	17:01	17:31	18:21	19:36	
小坂西-B	-	06:41	07:01	-	-	07:26	-	07:48	-	-	09:16	10:01	10:41	11:31	12:41	13:41	14:41	15:31	15:51	16:31	17:01	17:31	18:21	19:36	
星稜高校（駐車場内）	-	-	-	-	-	-	07:36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
小坂-B	06:17	06:42	07:02	07:12	07:16	07:27		07:49	08:09	08:38	09:17	10:02	10:42	11:32	12:42	13:42	14:42	15:32	15:52	16:32	17:02	17:32	18:22	19:37	
鳴和-B	06:18	06:43	07:03	07:14	07:17	07:28		07:50	08:10	08:39	09:18	10:03	10:43	11:33	12:43	13:43	14:43	15:33	15:53	16:33	17:03	17:33	18:23	19:38	
春日町（山の上方向）	06:19	06:44	07:04	07:15	07:18	07:29		07:52	08:12	08:40	09:19	10:04	10:44	11:34	12:44	13:44	14:44	15:34	15:54	16:34	17:04	17:34	18:24	19:39	
山の上（橋場方向）	06:20	06:45	07:05	07:16	07:19	07:30		07:53	08:13	08:41	09:20	10:05	10:45	11:35	12:45	13:45	14:45	15:35	15:55	16:35	17:05	17:35	18:25	19:40	
森山-B	06:21	06:46	07:06	07:17	07:20	07:31		07:54	08:14	08:42	09:21	10:06	10:46	11:36	12:46	13:46	14:46	15:36	15:56	16:36	17:06	17:36	18:26	19:41	
東山-B	06:22	06:47	07:07	07:18	07:21	07:32		07:55	08:15	08:43	09:22	10:07	10:47	11:37	12:47	13:47	14:47	15:37	15:57	16:37	17:07	17:37	18:27	19:42	
橋場町（交番前）	06:24	06:49	07:09	07:20	07:23	07:34		07:57	08:17	08:45	09:24	10:09	10:49	11:39	12:49	13:49	14:49	15:39	15:59	16:39	17:09	17:39	18:29	19:44	
橋場町（金城楼前）	06:24	06:49	07:09	07:20	07:23	07:34		07:57	08:17	08:45	09:24	10:09	10:49	11:39	12:49	13:49	14:49	15:39	15:59	16:39	17:09	17:39	18:29	19:44	
兼六園下（県駐車場前）	06:26	06:51	07:11	07:24	07:25	07:36		08:00	08:20	08:47	09:26	10:11	10:51	11:41	12:51	13:51	14:51	15:41	16:01	16:41	17:11	17:41	18:31	19:46	
出羽町-A	06:29	06:54	07:14	07:27	07:28	07:39		08:03	08:23	08:50	09:29	10:14	10:54	11:44	12:54	13:54	14:54	15:44	16:04	16:44	17:14	17:44	18:34	19:49	
