始発停留所	穴水駅前-D	穴水総合病院-A	穴水総合病院-A	穴水総合病院-A	
始発時間	06:57	09:09	11:57	16:25	
終点時間	08:21	10:38	13:30	17:54	
終点停留所	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	
備考					
穴水総合病院-A		09:09	11:57	16:25	
栄町-C		09:11	11:59	16:27	
大島町-B		09:12	12:00	16:28	
大町-B		09:13	12:01	16:29	
穴水駅前-D	06:57	09:15	12:03	16:31	
東町-A	06:59	09:17	-	16:33	
穴水小学校前-A	-	-	12:05	-	
大町東-A	-	-	12:07	-	
城山住宅前-A	07:01	09:19	12:10	16:35	
穴水高校口-A	07:02	09:20	12:11	16:36	
北七海-C	07:05	09:23	12:14	16:39	
麦ヶ浦-A	07:06	09:24	12:15	16:40	
下出-A	07:08	09:26	12:17	16:42	
中居北口-A	07:09	09:27	12:18	16:43	
中居南口-A	07:10	09:28	12:19	16:44	
向洋小学校-A	-	-	12:21	16:46	
西比良-A	07:12	09:30	12:22	16:47	
比良農協前-A	07:13	09:31	12:23	16:48	
向洋中学校-A	07:14	09:32	12:24	16:49	
能登川尻-A	07:15	09:33	12:25	16:50	
岩車-A	07:18	09:36	12:28	16:53	
東岩車-A	07:19	09:37	12:29	16:54	
穴水聖頌園前-A	07:20	09:38	12:30	16:55	
椿崎マリーナ	07:22	09:40	12:32	16:57	
椿崎口	07:24	09:42	12:34	16:59	
旭ヶ丘口	07:25	09:43	12:35	17:00	
鹿波	07:27	09:45	12:37	17:02	
鹿波東	07:28	09:46	12:38	17:03	
曽良-B	07:36	09:54	12:46	17:11	
曽良東-A	07:37	09:55	12:47	17:12	
兜小学校前-B	07:38	09:56	12:48	17:13	
農協甲支店前-A	07:41	09:59	12:51	17:16	
兜診療所前-B	07:42	10:00	12:52	17:17	
黒崎-A	07:43	10:01	12:53	17:18	
沖波宮の下-A	07:48	10:06	12:58	17:23	
沖波立戸浜-A	07:49	10:07	12:59	17:24	
沖波-A	07:50	10:08	13:00	17:25	
沖波口-B	07:51	10:09	13:01	17:26	
前波口-B	07:52	10:10	13:02	17:27	
前波集会所前-A	07:53	10:11	13:03	17:28	
宇加川-B	07:55	10:13	13:05	17:30	
花園口-B	07:56	10:14	13:06	17:31	
古君集会所前-B	07:57	10:15	13:07	17:32	
古君中町-B	07:58	10:16	13:08	17:33	
太田川-B	08:00	10:18	13:10	17:35	
竹太-A	08:01	10:19	13:11	17:36	
鵜川駅前-D	08:03	10:21	13:13	17:38	
鵜川口-A	08:04	10:22	13:14	17:39	
能登桜木	08:05	10:23	13:15	17:40	
能登七見	08:06	10:24	13:16	17:41	
なごみ-A	-	10:25	13:17	17:42	
矢波弁天-A	08:07	10:26	13:18	17:43	
三波	08:09	10:28	13:20	17:45	
波並駅前-B	08:10	10:29	13:21	17:46	
能登間島-A	08:12	10:31	13:23	17:48	
健民テニスコート前	08:13	10:32	13:24	17:49	
藤波駅口	08:14	10:33	13:25	17:50	
能登高校南	08:16	-	-	-	
辺田の浜-B	08:18	10:35	13:27	17:51	
能登田町-A	08:19	10:36	13:28	17:52	
宇出津病院前-A	08:20	10:37	13:29	17:53	
宇出津駅前-A	08:21	10:38	13:30	17:54	
