始発停留所	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A		
始発時間	06:58	12:57	17:31		
終点時間	08:00	13:59	18:27		
終点停留所	穴水総合病院-B	穴水総合病院-B	穴水駅前-D		
備考					
宇出津駅前-A	06:58	12:57	17:31		
宇出津病院前-B	06:59	12:58	17:32		
能登田町-B	07:00	12:59	17:33		
辺田の浜-B	07:01	13:00	17:34		
崎山-B	-	-	-		
能登高校南	-	-	-		
藤波駅口	07:02	13:01	17:35		
健民テニスコート前	07:03	13:02	17:36		
能登間島-B	07:04	13:03	17:37		
波並駅前-B	07:06	13:05	17:39		
三波	07:07	13:06	17:40		
矢波弁天-B	07:09	13:08	17:42		
なごみ-A	-	13:09	17:43		
能登七見	07:10	13:10	17:44		
能登桜木	07:11	13:11	17:45		
鵜川口-B	07:12	13:12	17:46		
鵜川駅前-B	07:13	13:13	17:47		
小垣	07:14	13:14	17:48		
谷屋	07:16	13:16	17:50		
神道	07:17	13:17	17:51		
柿生	07:18	13:18	17:52		
八乃田	07:19	13:19	17:53		
町	07:20	13:20	17:54		
能登瑞穂-B	07:21	13:21	17:55		
木住	07:22	13:22	17:56		
能登本木	07:24	13:24	17:58		
高内畠	07:26	13:26	18:00		
上曽山-B	07:30	13:30	18:04		
下曽山	07:31	13:31	18:05		
比良	07:36	13:36	18:10		
比良農協前-B	07:37	13:37	18:11		
西比良-B	07:38	13:38	18:12		
向洋小学校-B	07:40	-	-		
中居南口-B	07:41	13:40	18:14		
中居北口-B	07:42	13:41	18:15		
下出-B	07:43	13:42	18:16		
麦ヶ浦-B	07:45	13:44	18:18		
北七海-B	07:46	13:45	18:19		
穴水高校口-B	07:49	13:48	18:22		
城山住宅前-B	07:50	13:49	18:23		
東町-B	07:52	13:51	18:25		
穴水駅前-B	-	-	-		
穴水駅前-D	07:54	13:53	18:27		
大町-A	07:56	13:55			
大島町-A	07:57	13:56			
栄町-C	07:58	13:57			
穴水総合病院-B	08:00	13:59			
