始発停留所	能登瑞穂-A	穴水駅前-D	穴水総合病院-A	穴水総合病院-A	穴水総合病院-A	穴水駅前-D				
始発時間	06:34	06:53	12:24	13:50	16:24	18:36				
終点時間	06:52	07:51	13:28	14:53	17:27	19:33				
終点停留所	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A	宇出津駅前-A				
備考										
穴水総合病院-A			12:24	13:50	16:24					
栄町-C			12:26	13:52	16:26					
大島町-B			12:27	13:53	16:27					
大町-B			12:28	13:54	16:28					
穴水駅前-D		06:53	12:30	13:56	16:30	18:36				
東町-A		06:55	12:32	13:58	16:32	18:38				
城山住宅前-A		06:57	12:34	14:00	16:34	18:40				
穴水高校口-A		06:58	12:35	14:01	16:35	18:41				
北七海-C		07:01	12:38	14:04	16:38	18:44				
麦ヶ浦-A		07:02	12:39	14:05	16:39	18:45				
下出-A		07:04	12:41	14:07	16:41	18:47				
中居北口-A		07:05	12:42	14:08	16:42	18:48				
中居南口-A		07:06	12:43	14:09	16:43	18:49				
向洋小学校-A		-	-	-	16:45	-				
西比良-A		07:08	12:45	14:11	16:46	18:51				
比良農協前-A		07:09	12:46	14:12	16:47	18:52				
比良		07:10	12:47	14:13	16:48	18:53				
下曽山		07:15	12:52	14:18	16:53	18:58				
上曽山-A		07:16	12:53	14:19	16:54	18:59				
高内畠		07:20	12:57	14:23	16:58	19:03				
能登本木		07:22	12:59	14:25	17:00	19:05				
木住		07:24	13:01	14:27	17:02	19:07				
能登瑞穂-A	06:34	07:25	13:02	14:28	17:03	19:08				
町	-	07:26	13:03	14:29	17:04	19:09				
八乃田	-	07:27	13:04	14:30	17:05	19:10				
柿生	-	07:28	13:05	14:31	17:06	19:11				
神道	06:37	07:29	13:06	14:32	17:07	19:12				
谷屋	-	07:30	13:07	14:33	17:08	19:13				
小垣	06:39	07:32	13:09	14:35	17:10	19:15				
鵜川駅前-A	-	07:33	13:10	14:36	17:11	19:16				
鵜川口-A	06:40	07:34	13:11	14:37	17:12	19:17				
能登桜木	-	07:35	13:12	14:38	17:13	19:18				
能登七見	-	07:36	13:13	14:39	17:14	19:19				
なごみ-A	-	-	-	14:40	17:15	19:20				
矢波弁天-A	-	07:37	13:14	14:41	17:16	19:21				
三波	-	07:39	13:16	14:43	17:18	19:23				
波並駅前-B	06:46	07:40	13:17	14:44	17:19	19:24				
能登間島-A	-	07:42	13:19	14:46	17:21	19:26				
健民テニスコート前	-	07:43	13:20	14:47	17:22	19:27				
藤波駅口	-	07:44	13:21	14:48	17:23	19:28				
能登高校南	-	07:46	13:23	-	-	-				
辺田の浜-B	-	07:48	13:25	14:50	17:24	19:30				
能登田町-A	-	07:49	13:26	14:51	17:25	19:31				
宇出津病院前-A	-	07:50	13:27	14:52	17:26	19:32				
宇出津駅前-A	06:52	07:51	13:28	14:53	17:27	19:33				
