始発停留所	鹿波	前波南-A	鹿波		
始発時間	06:21	07:10	07:24		
終点時間	06:51	08:05	08:01		
終点停留所	穴水駅前-B	穴水総合病院-B	穴水総合病院-B		
備考					
竹太-A					
太田川-B					
古君中町-B					
古君集会所前-B					
花園口-B					
前波南-A		07:10			
沖波立戸浜-A		-			
沖波宮の下-A		-			
沖波-A		-			
沖波口-B		-			
前波口-B		07:11			
前波集会所前-A		-			
宇加川-B		-			
黒崎-A		07:20			
兜診療所前-B		07:21			
農協甲支店前-A		07:22			
兜小学校前-B		07:24			
曽良-B		-			
曽良東-A		07:25			
鹿波東		-			
大郷-A		07:29			
野並-A		07:32			
小又-C		07:35			
市の坂-B		07:37			
旭ヶ丘２区-C		07:38			
鹿波	06:21	-	07:24		
旭ヶ丘口	06:23	-	07:26		
南旭ヶ丘-A	06:25	-	-		
旭ヶ丘３区-A	06:27	-	-		
中旭ヶ丘-A	06:29	-	-		
旭ヶ丘１区-A	06:30	-	-		
婦人ホーム口-A	06:31	-	-		
旭ヶ丘２区-A	06:33	-	-		
比良	06:36	07:41	-		
椿崎口	-	-	07:27		
椿崎マリーナ	-	-	07:29		
穴水聖頌園前-B	-	-	07:31		
東岩車-B	-	-	07:32		
岩車-B	-	-	07:33		
能登川尻-B	-	-	07:35		
向洋中学校-B	-	-	07:37		
比良農協前-B	06:37	07:42	07:38		
西比良-B	06:38	07:43	07:39		
向洋小学校-B	-	07:45	07:41		
中居南口-B	06:40	07:46	07:42		
中居北口-B	06:41	07:47	07:43		
下出-B	06:42	07:48	07:44		
麦ヶ浦-B	06:44	07:50	07:46		
北七海-B	06:45	07:51	07:47		
穴水高校口-B	06:47	07:54	07:50		
城山住宅前-B	06:48	07:55	07:51		
東町-B	06:49	07:57	07:53		
穴水駅前-B	06:51	-	-		
穴水駅前-D		07:59	07:55		
大町-A		08:01	07:57		
大島町-A		08:02	07:58		
栄町-C		08:03	07:59		
穴水総合病院-B		08:05	08:01		
