始発停留所	穴水駅前-D	穴水総合病院-A	穴水総合病院-A	穴水駅前-D	
始発時間	06:55	14:30	18:26	19:25	
終点時間	07:24	15:41	19:28	20:15	
終点停留所	鹿波	竹太-A	前波南-A	前波南-A	
備考					
穴水総合病院-A		14:30	18:26		
栄町-C		14:32	18:28		
大島町-B		14:33	18:29		
大町-B		14:34	18:30		
穴水駅前-D	06:55	14:36	18:32	19:25	
東町-A	06:57	14:38	18:34	19:27	
城山住宅前-A	06:59	14:40	18:36	19:29	
穴水高校口-A	07:00	14:41	18:37	19:30	
北七海-C	07:03	14:44	18:40	19:33	
麦ヶ浦-A	07:04	14:45	18:41	19:34	
下出-A	07:06	14:47	18:43	19:36	
中居北口-A	07:07	14:48	18:44	19:37	
中居南口-A	07:08	14:49	18:45	19:38	
向洋小学校-A	-	14:51	-	-	
西比良-A	07:10	14:52	18:47	19:40	
比良農協前-A	07:11	14:53	18:48	19:41	
比良	07:12	-	-	19:42	
旭ヶ丘２区-A	07:15	-	-	-	
旭ヶ丘２区-C	-	-	-	19:45	
婦人ホーム口-A	07:17	-	-	-	
旭ヶ丘１区-A	07:18	-	-	-	
中旭ヶ丘-A	07:19	-	-	-	
旭ヶ丘３区-A	07:20	-	-	-	
南旭ヶ丘-A	07:21	-	-	-	
向洋中学校-A	-	14:54	18:49	-	
能登川尻-A	-	14:55	18:50	-	
岩車-A	-	14:58	18:53	-	
東岩車-A	-	14:59	18:54	-	
穴水聖頌園前-A	-	15:00	18:55	-	
椿崎マリーナ	-	15:02	18:57	-	
椿崎口	-	15:04	18:59	-	
旭ヶ丘口	07:22	15:05	19:00	-	
鹿波	07:24	15:07	19:02	-	
鹿波東		15:08	19:03	-	
曽良-B		15:16	19:11	-	
市の坂-A		-	-	19:47	
小又-C		-	-	19:50	
野並-A		-	-	19:53	
大郷-A		-	-	19:56	
曽良東-A		15:17	19:12	19:59	
兜小学校前-B		15:18	19:13	20:00	
農協甲支店前-A		15:21	19:16	20:03	
兜診療所前-B		15:22	19:17	20:04	
黒崎-A		15:23	19:18	20:05	
沖波宮の下-A		15:28	19:23	20:10	
沖波立戸浜-A		15:29	19:24	20:11	
沖波-A		15:30	19:25	20:12	
沖波口-B		15:31	19:26	20:13	
前波口-B		15:32	19:27	20:14	
前波集会所前-A		15:33	-	-	
宇加川-B		15:35	-	-	
前波南-A		-	19:28	20:15	
花園口-B		15:36			
古君集会所前-B		15:37			
古君中町-B		15:38			
太田川-B		15:40			
竹太-A		15:41			
