始発停留所	珠洲鉢ケ崎				
始発時間	18:15				
終点時間	20:09				
終点停留所	穴水駅前-D				
備考					
珠洲鉢ケ崎	18:15				
弁天公園前-B	-				
本蛸島-B	18:17				
正院-B	18:20				
飯田高校下	18:26				
すずなり館前-C	18:31				
昭和橋	18:33				
上戸	18:37				
珠洲鵜飼	18:41				
南鵜飼	-				
本鵜島	-				
恋路浜-B	-				
鵜島	18:42				
是久-B	18:47				
馬渡	18:49				
内浦駒渡	18:53				
柳田植物公園口	18:55				
柳田上町-A	18:59				
松波城址公園口-B	-				
能登不動寺-B	-				
松波本町-B	-				
内浦庁舎前	-				
松波中学校前	-				
九ノ里薬師寺前	-				
九里川尻	-				
立壁口	-				
能登宮崎	-				
新村	-				
長尾	-				
五色ヶ浜	-				
能登新保	-				
越坂	-				
越坂口	-				
勤労者プラザ前	-				
九十九湾	-				
金大実験所口	-				
九十九岸	-				
小木港	-				
小木町	-				
高瀬口	-				
姫幸港口	-				
姫上野台	-				
姫中組	-				
縄文真脇温泉口	-				
真脇	-				
本小浦	-				
羽根漁港	-				
田の浦	-				
遠島山公園下	-				
新村浜	-				
宇出津病院前-A	-				
宇出津駅前-A	19:09				
宇出津病院前-B	19:10				
能登田町-B	19:11				
辺田の浜-B	19:13				
能登高校南	-				
藤波駅口	19:14				
健民テニスコート前	19:15				
能登間島-B	19:16				
波並駅前-B	19:18				
三波	19:19				
矢波弁天-B	19:22				
なごみ-A	19:24				
能登七見	19:26				
能登桜木	19:27				
鵜川口-B	19:28				
鵜川駅前-D	-				
鵜川駅前-B	19:29				
小垣	19:30				
谷屋	19:32				
神道	19:33				
柿生	19:34				
八乃田	19:35				
町	19:36				
能登瑞穂-B	19:37				
木住	19:38				
能登本木	19:40				
高内畠	19:42				
上曽山-B	19:46				
下曽山	19:47				
比良	19:52				
比良農協前-B	19:53				
西比良-B	19:54				
中居南口-B	19:56				
中居北口-B	19:57				
下出-B	19:58				
麦ヶ浦-B	20:00				
北七海-B	20:01				
穴水高校口-B	20:04				
城山住宅前-B	20:05				
東町-B	20:07				
穴水駅前-B	-				
穴水駅前-D	20:09				
