始発停留所	門前-A	門前-A	門前-A	門前-A	門前-A	門前-A	門前-A	門前-A		
始発時間	06:30	06:50	08:02	10:00	13:10	14:45	15:40	17:40		
終点時間	07:10	07:30	08:42	10:35	13:45	15:20	16:15	18:15		
終点停留所	穴水駅前-A	穴水駅前-A	穴水総合病院-B	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A		
備考										
門前-A	06:30	06:50	08:02	10:00	13:10	14:45	15:40	17:40		
日野尾-A	06:31	06:51	08:03	10:01	13:11	14:46	15:41	17:41		
広瀬-A	06:32	06:52	08:04	10:02	13:12	14:47	15:42	17:42		
保健センター前-B	06:33	06:53	08:05	10:03	13:13	14:48	15:43	17:43		
本市-B	06:34	06:54	08:06	10:04	13:14	14:49	15:44	17:44		
本市口-B	06:35	06:55	08:07	10:05	13:15	14:50	15:45	17:45		
栃木口-A	06:36	06:56	08:08	10:06	13:16	14:51	15:46	17:46		
山辺-A	06:37	06:57	08:09	10:07	13:17	14:52	15:47	17:47		
貝喰-A	06:38	06:58	08:10	10:08	13:18	14:53	15:48	17:48		
内保-B	06:39	06:59	08:11	10:09	13:19	14:54	15:49	17:49		
谷口-B	06:40	07:00	08:12	10:10	13:20	14:55	15:50	17:50		
納能屋口-A	06:41	07:01	08:13	10:11	13:21	14:56	15:51	17:51		
二又川-A	06:43	07:03	08:15	10:13	13:23	14:58	15:53	17:53		
養護学校輪島分校前-B	06:44	07:04	08:16	10:14	13:24	14:59	15:54	17:54		
平-A	06:45	07:05	08:17	10:15	13:25	15:00	15:55	17:55		
別所-B	06:46	07:06	08:18	10:16	13:26	15:01	15:56	17:56		
東大町-B	06:47	07:07	08:19	10:17	13:27	15:02	15:57	17:57		
荒屋-A	06:48	07:08	08:20	10:18	13:28	15:03	15:58	17:58		
原-A	06:50	07:10	08:22	10:20	13:30	15:05	16:00	18:00		
貝吹口-A	06:51	07:11	08:23	10:21	13:31	15:06	16:01	18:01		
小又-B	06:54	07:14	08:26	10:24	13:34	15:09	16:04	18:04		
唐川口-B	06:56	07:16	08:28	10:26	13:36	15:11	16:06	18:06		
平野-B	06:58	07:18	08:30	10:28	13:38	15:13	16:08	18:08		
此の木（すしべん前）	06:59	07:19	08:31	10:29	13:39	15:14	16:09	18:09		
此の木（ガソリンスタンド向）	06:59	07:19	08:31	10:29	13:39	15:14	16:09	18:09		
庚申町-B	07:00	07:20	08:32	10:30	13:40	15:15	16:10	18:10		
穴水総合病院-A	07:04	07:24	-	-	-	-	-	-		
東町-B	07:08	07:28	-	-	-	-	-	-		
栄町-B	-	-	08:34	10:32	13:42	15:17	16:12	18:12		
大島町-B	-	-	08:35	10:33	13:43	15:18	16:13	18:13		
大町-B	-	-	08:36	10:34	13:44	15:19	16:14	18:14		
穴水駅前-A	07:10	07:30	08:37	10:35	13:45	15:20	16:15	18:15		
東町-A			08:39							
穴水総合病院-B			08:42							
