始発停留所	穴水駅前-A	穴水総合病院-A	穴水駅前-A	穴水駅前-A	
始発時間	08:15	11:55	14:00	18:00	
終点時間	08:50	12:35	14:35	18:35	
終点停留所	門前-A	門前-A	門前-A	門前-A	
備考					
穴水総合病院-A		11:55			
東町-B		11:58			
穴水駅前-A	08:15	12:00	14:00	18:00	
大町-A	08:16	12:01	14:01	18:01	
大島町-A	08:17	12:02	14:02	18:02	
栄町-A	08:18	12:03	14:03	18:03	
庚申町-A	08:20	12:05	14:05	18:05	
此の木（ガソリンスタンド前）	08:21	12:06	14:06	18:06	
此の木（すしべん向）	08:21	12:06	14:06	18:06	
平野-A	08:22	12:07	14:07	18:07	
唐川口-A	08:24	12:09	14:09	18:09	
小又-A	08:26	12:11	14:11	18:11	
貝吹口-A	08:29	12:14	14:14	18:14	
原-A	08:30	12:15	14:15	18:15	
荒屋-A	08:32	12:17	14:17	18:17	
東大町-A	08:33	12:18	14:18	18:18	
別所-A	08:34	12:19	14:19	18:19	
平-A	08:35	12:20	14:20	18:20	
養護学校輪島分校前-A	08:36	12:21	14:21	18:21	
二又川-A	08:37	12:22	14:22	18:22	
納能屋口-A	08:39	12:24	14:24	18:24	
谷口-A	08:40	12:25	14:25	18:25	
内保-A	08:41	12:26	14:26	18:26	
貝喰-A	08:42	12:27	14:27	18:27	
山辺-A	08:43	12:28	14:28	18:28	
栃木口-A	08:44	12:29	14:29	18:29	
本市口-A	08:45	12:30	14:30	18:30	
本市-A	08:46	12:31	14:31	18:31	
保健センター前-A	08:47	12:32	14:32	18:32	
広瀬-A	08:48	12:33	14:33	18:33	
日野尾-A	08:49	12:34	14:34	18:34	
門前-A	08:50	12:35	14:35	18:35	
