始発停留所	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水総合病院-A	穴水総合病院-A	穴水総合病院-A	穴水総合病院-A	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A	穴水駅前-A		
始発時間	07:05	07:10	08:35	09:30	10:10	11:25	12:25	13:05	15:10	16:20	17:10	18:35	19:30		
終点時間	07:58	07:49	09:14	10:23	10:54	12:23	13:09	13:49	16:03	16:59	17:44	19:09	20:04		
終点停留所	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】	輪島駅前【２】		
備考															
穴水総合病院-A					10:10	11:25	12:25	13:05							
東町-B					10:13	11:28	12:28	13:08							
穴水駅前-A	07:05	07:10	08:35	09:30	10:15	11:30	12:30	13:10	15:10	16:20	17:10	18:35	19:30		
大町-A	07:06	07:11	08:36	09:31	10:16	11:31	12:31	13:11	15:11	16:21	17:11	18:36	19:31		
大島町-A	07:07	07:12	08:37	09:32	10:17	11:32	12:32	13:12	15:12	16:22	17:12	18:37	19:32		
栄町-A	07:08	07:13	08:38	09:33	10:18	11:33	12:33	13:13	15:13	16:23	17:13	18:38	19:33		
庚申町-A	07:10	07:15	08:40	09:35	10:20	11:35	12:35	13:15	15:15	16:25	17:15	18:40	19:35		
此の木（ガソリンスタンド前）	07:11	07:16	08:41	09:36	10:21	11:36	12:36	13:16	15:16	16:26	17:16	18:41	19:36		
此の木（８番ラーメン向）	07:11	-	-	09:36	-	11:36	-	-	15:16	-	-	-	-		
此の木（すしべん向）	-	07:16	08:41	-	10:21	-	12:36	13:16	-	16:26	17:16	18:41	19:36		
平野-A	-	07:17	08:42	-	10:22	-	12:37	13:17	-	16:27	17:17	18:42	19:37		
唐川口-A	-	07:18	08:43	-	10:23	-	12:38	13:18	-	16:28	17:18	18:43	19:38		
小又-C	-	07:19	08:44	-	10:24	-	12:39	13:19	-	16:29	17:19	18:44	19:39		
市の坂-A	-	07:23	08:48	-	10:28	-	12:43	13:23	-	16:33	17:23	18:48	19:43		
あての木園前-A	-	07:24	08:49	-	10:29	-	12:44	13:24	-	16:34	17:24	18:49	19:44		
加村口-A	-	07:25	08:50	-	10:30	-	12:45	13:25	-	16:35	17:25	18:50	19:45		
新保-A	-	07:26	08:51	-	10:31	-	12:46	13:26	-	16:36	17:26	18:51	19:46		
精育園前-A	07:15	-	-	09:40	-	11:40	-	-	15:20	-	-	-	-		
臨空産業団地前-A	07:25	-	-	09:50	-	11:50	-	-	15:30	-	-	-	-		
能登空港	07:26	-	-	09:51	-	11:51	-	-	15:31	-	-	-	-		
洲衛-A	07:32	-	-	09:57	-	11:57	-	-	15:37	-	-	-	-		
小泉-A	07:36	07:27	08:52	10:01	10:32	12:01	12:47	13:27	15:41	16:37	17:27	18:52	19:47		
長沢-A	07:37	07:28	08:53	10:02	10:33	12:02	12:48	13:28	15:42	16:38	17:28	18:53	19:48		
三井駅前-A	07:38	07:29	08:54	10:03	10:34	12:03	12:49	13:29	15:43	16:39	17:29	18:54	19:49		
興徳寺-A	07:39	07:30	08:55	10:04	10:35	12:04	12:50	13:30	15:44	16:40	17:30	18:55	19:50		
渡合-A	07:40	07:31	08:56	10:05	10:36	12:05	12:51	13:31	15:45	16:41	17:31	18:56	19:51		
小淵橋-A	07:41	07:32	08:57	10:06	10:37	12:06	12:52	13:32	15:46	16:42	17:32	18:57	19:52		
熊野-A	07:43	07:34	08:59	10:08	10:39	12:08	12:54	13:34	15:48	16:44	17:34	18:59	19:54		
下熊野-A	07:44	07:35	09:00	10:09	10:40	12:09	12:55	13:35	15:49	16:45	17:35	19:00	19:55		
荒田-A	07:45	07:36	09:01	10:10	10:41	12:10	12:56	13:36	15:50	16:46	17:36	19:01	19:56		
市ノ瀬-A	07:46	07:37	09:02	10:11	10:42	12:11	12:57	13:37	15:51	16:47	17:37	19:02	19:57		
桐田-A	07:47	07:38	09:03	10:12	10:43	12:12	12:58	13:38	15:52	16:48	17:38	19:03	19:58		
安町-A	07:48	07:39	09:04	10:13	10:44	12:13	12:59	13:39	15:53	16:49	17:39	19:04	19:59		
川尻-A	07:49	07:40	09:05	10:14	10:45	12:14	13:00	13:40	15:54	16:50	17:40	19:05	20:00		
小川-A	07:50	07:41	09:06	10:15	10:46	12:15	13:01	13:41	15:55	16:51	17:41	19:06	20:01		
横地-A	07:51	07:42	09:07	10:16	10:47	12:16	13:02	13:42	15:56	16:52	17:42	19:07	20:02		
杉平-A	07:52	07:43	09:08	10:17	10:48	12:17	13:03	13:43	15:57	16:53	17:43	19:08	20:03		
市立輪島病院-A	07:54	07:45	09:10	10:19	10:50	12:19	13:05	13:45	15:59	16:55	-	-	-		
きらめき橋-B	07:56	07:47	09:12	10:21	10:52	12:21	13:07	13:47	16:01	16:57	-	-	-		
輪島高校前-B	07:57	07:48	09:13	10:22	10:53	12:22	13:08	13:48	16:02	16:58	-	-	-		
輪島駅前【２】	07:58	07:49	09:14	10:23	10:54	12:23	13:09	13:49	16:03	16:59	17:44	19:09	20:04		
