始発停留所	大桑本町	大桑本町	大桑本町	大桑本町	大桑本町	大桑本町	大桑本町	大桑本町	大桑本町	
始発時間	07:27	08:42	10:17	11:30	13:32	15:02	16:27	17:42	19:27	
終点時間	08:23	09:32	11:12	12:26	14:27	15:58	17:22	18:29	20:17	
終点停留所	消費生活支援センター	戸水	戸水	工業試験場	戸水	工業試験場	戸水	戸水	戸水	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
大桑本町	07:27	08:42	10:17	11:30	13:32	15:02	16:27	17:42	19:27	
大桑神社前-B	07:27	08:42	10:17	11:30	13:32	15:02	16:27	17:42	19:27	
大桑ランプ口-B	07:28	08:43	10:18	11:31	13:33	15:03	16:28	17:43	19:28	
大桑タウン-B	07:29	08:44	10:19	11:32	13:34	15:04	16:29	17:44	19:29	
大桑住宅-A	07:30	08:45	10:20	11:33	13:35	15:05	16:30	17:45	19:30	
大桑-B	07:31	08:46	10:21	11:34	13:36	15:06	16:31	17:46	19:31	
西大桑	07:32	08:47	10:22	11:35	13:37	15:07	16:32	17:47	19:32	
雪見橋	07:33	08:48	10:23	11:36	13:38	15:08	16:33	17:48	19:33	
城南一丁目	07:34	08:49	10:24	11:37	13:39	15:09	16:34	17:49	19:34	
笠舞本町	07:35	08:50	10:25	11:38	13:40	15:10	16:35	17:50	19:35	
城南二丁目-B	07:36	08:51	10:26	11:39	13:41	15:11	16:36	17:51	19:36	
川上-C	07:37	08:52	10:27	11:40	13:42	15:12	16:37	17:52	19:37	
猿丸神社前（幸町方向）	07:38	08:53	10:29	11:42	13:44	15:14	16:39	17:53	19:38	
思案橋-B	07:39	08:54	10:30	11:43	13:45	15:15	16:40	17:54	19:39	
幸町-B	07:40	08:55	10:31	11:44	13:46	15:16	16:41	17:55	19:40	
本多町-B	07:41	08:56	10:33	11:46	13:48	15:18	16:43	17:56	19:41	
広坂（金沢２１世紀美術館前）	07:42	08:57	10:34	11:47	13:49	15:19	16:44	17:57	19:42	
香林坊（日銀前）	07:45	09:00	10:37	11:50	13:52	15:22	16:47	18:00	19:45	
南町-B	07:46	09:01	10:38	11:51	13:53	15:23	16:48	18:01	19:46	
武蔵ヶ辻（エムザ前）	07:48	09:03	10:40	11:53	13:55	15:25	16:50	18:03	19:48	
武蔵ヶ辻（スカイ前）	07:48	09:03	10:40	11:53	13:55	15:25	16:50	18:03	19:48	
六枚町（金石方向）	07:50	09:05	10:43	11:56	13:58	15:28	16:53	18:05	19:50	
広岡口（朱鷺の苑前）	07:52	09:07	10:45	11:58	14:00	15:30	16:55	18:07	19:52	
金沢駅西口降車	07:57	09:12	10:50	12:03	14:05	15:35	17:00	18:12	19:57	
金沢駅西口【６】	07:57	09:12	10:50	12:03	14:05	15:35	17:00	18:12	19:57	
広岡-A	07:59	-	-	12:05	-	15:37	-	-	-	
西念南-A	08:00	-	-	12:06	-	15:38	-	-	-	
西念西-A	08:01	-	-	12:07	-	15:39	-	-	-	
勤労者プラザ前-A	-	09:14	10:52	-	14:07	-	17:02	18:14	19:59	
西念東-A	-	09:15	10:53	-	14:08	-	17:03	18:15	20:00	
西念-A	-	09:16	10:54	-	14:09	-	17:04	18:16	20:01	
双葉町	-	09:18	10:56	-	14:11	-	17:06	18:18	20:03	
諸江団地-A	-	-	-	-	-	-	-	18:19	-	
南新保口-A	-	-	-	-	-	-	-	18:20	-	
三浦住宅前-A	-	-	-	-	-	-	-	18:21	-	
鞍月-A	-	-	-	-	-	-	-	18:23	-	
駅西合庁前（西念南から）	08:02	-	-	12:08	-	15:40	-	-	-	
駅西合庁前（西念東から）	-	09:20	10:58	-	14:13	-	17:08	-	20:05	
中央病院前	08:05	-	-	12:11	-	15:43	-	-	-	
映寿会みらい病院	08:06	-	-	12:12	-	15:44	-	-	-	
県庁前-A	08:07	09:23	11:01	12:13	14:16	15:45	17:11	-	20:08	
藤江北-A	08:08	-	-	12:14	-	15:46	-	-	-	
市立工業高校東口	08:09	-	-	12:15	-	15:47	-	-	-	
金沢西高校-A	08:10	-	-	12:16	-	15:48	-	-	-	
工業試験場	08:11	-	-	12:26	-	15:58	-	-	-	
戸水西-A	08:15	-	-		-		-	-	-	
消費生活支援センター	08:23	-	-		-		-	-	-	
大友１丁目-A		09:26	11:04		14:19		17:14	-	20:11	
大友		09:27	11:05		14:20		17:15	18:24	20:12	
戸水		09:32	11:12		14:27		17:22	18:29	20:17	
