始発停留所	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】	
始発時間	07:10	10:30	13:15	16:50	
終点時間	07:44	11:04	13:49	17:24	
終点停留所	織姫の里	織姫の里	織姫の里	織姫の里	
備考					
七尾駅前【４】	07:10	10:30	13:15	16:50	
小丸山公園下-C	07:12	10:32	13:17	16:52	
七尾美術館前-A	-	-	-	-	
能登総合病院	-	-	-	-	
岩屋（化石層）	-	-	-	-	
西藤橋-B	07:14	10:34	13:19	16:54	
岩屋町-B	07:15	10:35	13:20	16:55	
七尾警察署前-B	07:16	10:36	13:21	16:56	
国分-B	07:17	10:37	13:22	16:57	
細口-B	07:18	10:38	13:23	16:58	
青葉台-B	07:19	10:39	13:24	16:59	
白馬口-B	07:20	10:40	13:25	17:00	
上白馬-B	07:21	10:41	13:26	17:01	
廿九日-B	07:22	10:42	13:27	17:02	
新庄-B	07:24	10:44	13:29	17:04	
大槻-B	07:25	10:45	13:30	17:05	
羽坂-B	07:26	10:46	13:31	17:06	
末坂-B	07:27	10:47	13:32	17:07	
鳥屋小学校前-B	07:29	10:49	13:34	17:09	
良川住宅前-A	07:30	10:50	13:35	17:10	
良川駅前	07:32	10:52	13:37	17:12	
良川-B	-	-	-	-	
良川-D	07:34	10:54	13:39	17:14	
中能登中学校-A	07:36	10:56	13:41	17:16	
アルプラザ鹿島-A	07:39	10:59	13:44	17:19	
アルプラザ鹿島-B	-	-	-	-	
織姫の里	07:44	11:04	13:49	17:24	
