始発停留所	織姫の里	織姫の里	織姫の里	織姫の里	
始発時間	07:50	11:10	13:55	17:30	
終点時間	08:26	11:46	14:31	18:06	
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	
備考					
織姫の里	07:50	11:10	13:55	17:30	
アルプラザ鹿島-A	07:53	11:13	13:58	17:33	
中能登中学校-A	07:58	11:18	14:03	17:38	
中能登中学校-B	-	-	-	-	
良川-B	-	-	-	-	
良川-C	08:00	11:20	14:05	17:40	
良川新町	-	-	-	-	
良川駅前	08:01	11:21	14:06	17:41	
良川住宅前-A	08:02	11:22	14:07	17:42	
良川住宅前-B	-	-	-	-	
鳥屋小学校前-A	08:04	11:24	14:09	17:44	
末坂-A	08:05	11:25	14:10	17:45	
羽坂-A	08:06	11:26	14:11	17:46	
大槻-A	08:07	11:27	14:12	17:47	
新庄-A	08:08	11:28	14:13	17:48	
廿九日-B	08:09	11:29	14:14	17:49	
上白馬-A	08:10	11:30	14:15	17:50	
白馬口-A	08:11	11:31	14:16	17:51	
青葉台-A	08:12	11:32	14:17	17:52	
細口-A	08:13	11:33	14:18	17:53	
国分-A	08:14	11:34	14:19	17:54	
七尾警察署前-A	08:15	11:35	14:20	17:55	
岩屋町-A	08:16	11:36	14:21	17:56	
西藤橋-A	08:17	11:37	14:22	17:57	
岩屋（化石層）	-	-	-	-	
能登総合病院	-	-	-	-	
七尾美術館前-B	-	-	-	-	
小丸山公園下-B	08:19	11:39	14:24	17:59	
七尾駅前【１】	08:26	11:46	14:31	18:06	
