始発停留所	脇-B	脇-B	脇-B	脇-B	脇-B
始発時間	06:25	09:15	12:50	15:05	18:25
終点時間	07:09	09:53	13:28	15:43	19:03
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】
備考					
脇-B	06:25	09:15	12:50	15:05	18:25
新脇-B	06:26	09:16	12:51	15:06	18:26
東大泊-B	06:27	09:17	12:52	15:07	18:27
大泊寺の前-B	06:27	09:17	12:52	15:07	18:27
大泊-B	06:28	09:18	12:53	15:08	18:28
東浜-B	06:29	09:19	12:54	15:09	18:29
花園口-B	06:30	09:20	12:55	15:10	18:30
黒崎-B	06:32	09:22	12:57	15:12	18:32
出村-B	06:33	09:23	12:58	15:13	18:33
上佐々波-B	06:34	09:24	12:59	15:14	18:34
下佐々波-B	06:36	09:26	13:01	15:16	18:36
虫崎-B	06:38	09:28	13:03	15:18	18:38
大呑保育園前-B	06:39	09:29	13:04	15:19	18:39
庵-B	06:41	09:31	13:06	15:21	18:41
庵港-B	06:42	09:32	13:07	15:22	18:42
百海-B	06:44	09:34	13:09	15:24	18:44
沢野-B	06:48	09:38	13:13	15:28	18:48
殿-B	06:49	09:39	13:14	15:29	18:49
太田八幡-B	06:52	09:42	13:17	15:32	18:52
卸売市場前-B	06:52	09:42	13:17	15:32	18:52
東湊小学校前-B	06:53	09:43	13:18	15:33	18:53
臼池-B	06:54	09:44	13:19	15:34	18:54
万行浜通り-B	06:55	09:45	13:20	15:35	18:55
矢田新東-B	06:56	09:46	13:21	15:36	18:56
矢田新中央-B	06:57	09:47	13:22	15:37	18:57
湊町口-B	06:58	09:48	13:23	15:38	18:58
郡町-B	06:59	09:49	13:24	15:39	18:59
川原町-D	07:00	09:50	13:25	15:40	19:00
七尾駅前【ミナ．クル前降車場】	07:01	09:51	13:26	15:41	19:01
七尾駅前【１】	07:09	09:53	13:28	15:43	19:03
七尾駅前【５】					
小丸山公園下-A					
小丸山台１丁目-A					
小丸山台２丁目-A					
小丸山台３丁目-A					
能登総合病院					
