始発停留所	脇-B	脇-B	脇-B	脇-B	脇-B	脇-B				
始発時間	06:25	08:20	10:45	15:00	16:40	18:35				
終点時間	07:09	09:09	11:23	15:38	17:18	19:13				
終点停留所	七尾駅前【１】	能登総合病院	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】				
備考										
脇-B	06:25	08:20	10:45	15:00	16:40	18:35				
新脇-B	06:26	08:21	10:46	15:01	16:41	18:36				
東大泊-B	06:27	08:22	10:47	15:02	16:42	18:37				
大泊寺の前-B	06:27	08:22	10:47	15:02	16:42	18:37				
大泊-B	06:28	08:23	10:48	15:03	16:43	18:38				
東浜-B	06:29	08:24	10:49	15:04	16:44	18:39				
花園口-B	06:30	08:25	10:50	15:05	16:45	18:40				
黒崎-B	06:32	08:27	10:52	15:07	16:47	18:42				
出村-B	06:33	08:28	10:53	15:08	16:48	18:43				
上佐々波-B	06:34	08:29	10:54	15:09	16:49	18:44				
下佐々波-B	06:36	08:31	10:56	15:11	16:51	18:46				
虫崎-B	06:38	08:33	10:58	15:13	16:53	18:48				
大呑保育園前-B	06:39	08:34	10:59	15:14	16:54	18:49				
庵-B	06:41	08:36	11:01	15:16	16:56	18:51				
庵港-B	06:42	08:37	11:02	15:17	16:57	18:52				
百海-B	06:44	08:39	11:04	15:19	16:59	18:54				
沢野-B	06:48	08:43	11:08	15:23	17:03	18:58				
殿-B	06:49	08:44	11:09	15:24	17:04	18:59				
太田八幡-B	06:52	08:47	11:12	15:27	17:07	19:02				
卸売市場前-B	06:52	08:47	11:12	15:27	17:07	19:02				
東湊小学校前-B	06:53	08:48	11:13	15:28	17:08	19:03				
臼池-B	06:54	08:49	11:14	15:29	17:09	19:04				
万行浜通り-B	06:55	08:50	11:15	15:30	17:10	19:05				
矢田新東-B	06:56	08:51	11:16	15:31	17:11	19:06				
矢田新中央-B	06:57	08:52	11:17	15:32	17:12	19:07				
湊町口-B	06:58	08:53	11:18	15:33	17:13	19:08				
郡町-B	06:59	08:54	11:19	15:34	17:14	19:09				
川原町-D	07:00	08:55	11:20	15:35	17:15	19:10				
七尾駅前【ミナ．クル前降車場】	07:01	08:56	11:21	15:36	17:16	19:11				
七尾駅前【１】	07:09	-	11:23	15:38	17:18	19:13				
七尾駅前【５】		08:58								
小丸山公園下-A		08:59								
小丸山台１丁目-A		09:01								
小丸山台２丁目-A		09:02								
小丸山台３丁目-A		09:03								
能登総合病院		09:09								
