始発停留所	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	県庁前-B	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	県庁前-B	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】	金沢駅【１０】		
始発時間	07:00	07:15	07:25	07:25	07:30	07:35	07:40	07:45	07:50	07:55	08:03	08:13	08:23	08:23	08:33	08:43	08:53	09:03	09:10	09:18	09:33	09:48	10:03	10:03	10:18	10:33	10:48	11:03	11:18	11:33	11:48	12:03	12:18	12:33	12:48	13:03	13:18	13:33	13:48	14:03	14:18	14:33	14:48	15:03	15:18	15:33	15:48	16:03	16:18	16:33	16:48	17:03	17:18	17:33	17:48	18:03	18:06	18:13	18:33	18:43	18:53	19:03	19:13	19:23	19:33	19:37	19:43	20:05	20:20	20:35	20:50	21:05	21:20	21:40	22:00	22:20	22:45	23:25		
終点時間	07:37	07:52	08:02	08:00	08:07	08:16	08:21	08:26	08:31	08:36	08:44	08:54	09:00	09:04	09:10	09:20	09:30	09:40	09:47	09:59	10:10	10:29	10:40	10:44	10:55	11:10	11:25	11:40	11:55	12:10	12:25	12:40	12:59	13:10	13:25	13:40	13:55	14:10	14:25	14:44	14:55	15:10	15:25	15:40	15:55	16:10	16:25	16:40	16:55	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:03	18:55	19:10	19:20	19:30	19:40	19:50	20:00	20:10	20:29	20:20	20:39	20:54	21:09	21:24	21:39	21:54	22:14	22:34	22:54	23:19	23:59		
終点停留所	東部車庫-A	東部車庫-A	東部車庫-A	辰巳丘高校-B	東部車庫-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A		
備考		ノンステップバス	学期休み期間のみ運行	学期休み期間、運休
ノンステップバス	ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス	学期休み期間のみ運行	学期休み期間、運休
ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間のみ運行	学期休み期間、運休			ノンステップバス		ノンステップバス			ノンステップバス			ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス			ノンステップバス						ノンステップバス	ノンステップバス		ノンステップバス								ノンステップバス			
県庁前-B																																																									18:06									19:37														
駅西合庁前（西念南方向）																																																									18:09									19:40														
西念西-B																																																									18:10									19:41														
西念南-B																																																									18:11									19:42														
