始発停留所	市立輪島病院-A	市立輪島病院-A	市立輪島病院-A	市立輪島病院-A	
始発時間	12:00	15:00	17:15	18:50	
終点時間	12:47	15:47	17:59	19:34	
終点停留所	雑座	雑座	上山	上山	
備考					
市立輪島病院-A	12:00	15:00	17:15	18:50	
輪島駅前【２】	12:05	15:05	17:20	18:55	
馬場町-B	12:07	15:07	17:22	18:57	
中央通り-B	12:08	15:08	17:23	18:58	
新橋-B	12:09	15:09	17:24	18:59	
鳳至小学校前-A	12:10	15:10	17:25	19:00	
石浦町-A	12:11	15:11	17:26	19:01	
袖ケ浜-A	12:12	15:12	17:27	19:02	
光浦東口	12:13	15:13	17:28	19:03	
光浦	12:14	15:14	17:29	19:04	
美谷口	12:15	15:15	17:30	19:05	
鵜入	12:17	15:17	17:32	19:07	
小池口	12:20	15:20	17:35	19:10	
小鵜入	-	-	-	-	
細田	-	-	-	-	
小池	12:22	15:22	17:37	19:12	
下山	12:24	15:24	17:39	19:14	
下山口	12:27	15:27	17:42	19:17	
赤崎	12:29	15:29	17:44	19:19	
西保小学校前	12:30	15:30	17:45	19:20	
大沢大橋	12:34	15:34	17:49	19:24	
大沢	12:35	15:35	17:50	19:25	
上大沢	12:40	15:40	17:55	19:30	
西二又	12:41	15:41	17:56	19:31	
男女滝	12:42	15:42	17:57	19:32	
上山	12:44	15:44	17:59	19:34	
池田	12:46	15:46			
雑座	12:47	15:47			
