始発停留所	済生会病院	済生会病院	済生会病院	済生会病院	済生会病院	済生会病院				
始発時間	09:25	10:45	11:30	12:12	13:35	17:45				
終点時間	10:02	11:22	12:07	12:49	14:12	18:22				
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】				
備考	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
済生会病院	09:25	10:45	11:30	12:12	13:35	17:45				
稚日野（済生会病院から）	09:26	10:46	11:31	12:13	13:36	17:46				
西部緑地公園-C	09:28	10:48	11:33	12:15	13:38	17:48				
松島北-B	09:30	10:50	11:35	12:17	13:40	17:50				
松島（松島北から）	09:32	10:52	11:37	12:19	13:42	17:52				
古府南-B	09:33	10:53	11:38	12:20	13:43	17:53				
間明二丁目-B	09:34	10:54	11:39	12:21	13:44	17:54				
米丸学校前（新神田方向）	09:35	10:55	11:40	12:22	13:45	17:55				
新神田（増泉方向）	09:38	10:58	11:43	12:25	13:48	17:58				
増泉（片町方向）	09:40	11:00	11:45	12:27	13:50	18:00				
増泉一丁目-B	09:42	11:02	11:47	12:29	13:52	18:02				
白菊町-B	09:43	11:03	11:48	12:30	13:53	18:03				
片町（ラブロ前）	09:45	11:05	11:50	12:32	13:55	18:05				
香林坊（日銀前）	09:46	11:06	11:51	12:33	13:56	18:06				
南町-B	09:48	11:08	11:53	12:35	13:58	18:08				
武蔵ヶ辻（エムザ前）	09:50	11:10	11:55	12:37	14:00	18:10				
リファーレ前-B	09:52	11:12	11:57	12:39	14:02	18:12				
金沢駅【降車場】	10:02	11:22	12:07	12:49	14:12	18:22				
