始発停留所	輪島駅前【２】	輪島駅前【２】	市立輪島病院-A	輪島駅前【２】	市立輪島病院-A
始発時間	07:40	10:50	13:50	16:25	19:15
終点時間	08:15	11:25	14:30	17:00	19:55
終点停留所	門前-A	門前-A	門前-A	門前-A	門前-A
備考					
市立輪島病院-A			13:50		19:15
輪島駅前【２】	07:40	10:50	13:55	16:25	19:20
馬場町-B	07:42	10:52	13:57	16:27	19:22
中央通り-B	07:43	10:53	13:58	16:28	19:23
新橋-B	07:44	10:54	13:59	16:29	19:24
測候所前-A	07:45	10:55	14:00	16:30	19:25
県立漆芸研修所前-B	07:46	10:56	14:01	16:31	19:26
小伊勢-B	07:47	10:57	14:02	16:32	19:27
大屋学校前-B	07:48	10:58	14:03	16:33	19:28
稲屋-B	07:49	10:59	14:04	16:34	19:29
長井-B	07:51	11:01	14:06	16:36	19:31
四十九坊-B	07:53	11:03	14:08	16:38	19:33
黒川-A	07:54	11:04	14:09	16:39	19:34
二俣学校前-B	07:55	11:05	14:10	16:40	19:35
二俣-B	07:56	11:06	14:11	16:41	19:36
下縄又-B	07:57	11:07	14:12	16:42	19:37
縄又-A	07:58	11:08	14:13	16:43	19:38
西円山-B	08:01	11:11	14:16	16:46	19:41
上中屋-B	08:03	11:13	14:18	16:48	19:43
中屋-A	08:04	11:14	14:19	16:49	19:44
知気女-A	08:06	11:16	14:21	16:51	19:46
浦上-B	08:07	11:17	14:22	16:52	19:47
正仏-B	08:08	11:18	14:23	16:53	19:48
田村-A	08:09	11:19	14:24	16:54	19:49
本市口-A	08:10	11:20	14:25	16:55	19:50
本市-A	08:11	11:21	14:26	16:56	19:51
保健センター前-A	08:12	11:22	14:27	16:57	19:52
広瀬-A	08:13	11:23	14:28	16:58	19:53
日野尾-A	08:14	11:24	14:29	16:59	19:54
門前-A	08:15	11:25	14:30	17:00	19:55
