始発停留所	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】				
始発時間	09:10	12:21	14:25	15:41	18:30	19:20				
終点時間	10:19	13:30	15:34	16:51	19:40	20:30				
終点停留所	辰口和光台	辰口和光台	辰口和光台	辰口和光台	辰口和光台	辰口和光台				
備考										
金沢駅【８】	09:10	12:21	14:25	15:41	18:30	19:20				
リファーレ前-A	09:12	12:23	14:27	15:43	18:32	19:22				
武蔵ヶ辻（近江町市場前）	09:15	12:26	14:30	15:46	18:35	19:25				
南町-A	09:17	12:28	14:32	15:48	18:37	19:27				
香林坊（アトリオ前）	09:19	12:30	14:34	15:50	18:39	19:29				
片町（パシオン前）	09:22	12:33	14:37	15:53	18:42	19:32				
広小路（有松方向）	09:24	12:35	14:39	15:55	18:44	19:34				
野町-A	09:25	12:36	14:40	15:56	18:45	19:35				
泉一丁目-A	09:26	12:37	14:41	15:57	18:46	19:36				
泉二丁目-A	09:28	12:39	14:43	15:59	18:48	19:38				
有松（寺地方向）	09:30	12:41	14:45	16:01	18:50	19:40				
上有松-A	09:31	12:42	14:46	16:02	18:51	19:41				
寺地-A	09:32	12:43	14:47	16:03	18:52	19:42				
伏見台（郊外方向）	09:33	12:44	14:48	16:04	18:53	19:43				
錦丘高校前（四十万方向）	09:34	12:45	14:49	16:05	18:54	19:44				
三馬日赤病院前-A	09:36	12:47	14:51	16:07	18:56	19:46				
金沢工業大学（四十万方向）	09:37	12:48	14:52	16:08	18:57	19:47				
扇が丘-A	09:38	12:49	14:53	16:09	18:58	19:48				
扇台小学校前-A	09:39	12:50	14:54	16:10	18:59	19:49				
光が丘口（四十万方向）	09:41	12:52	14:56	16:12	19:01	19:51				
大額二丁目-A	09:42	12:53	14:57	16:13	19:02	19:52				
大額三丁目-A	09:43	12:54	14:58	16:14	19:03	19:53				
額中学校前-A	09:44	12:55	14:59	16:15	19:04	19:54				
しじま台-A	09:45	12:56	15:00	16:16	19:05	19:55				
四十万-A	09:46	12:57	15:01	16:17	19:06	19:56				
中四十万（南部車庫方向）	09:47	12:58	15:02	16:18	19:07	19:57				
加賀産新庄-A	09:49	13:00	15:04	16:20	19:09	19:59				
加賀産上林-A	09:50	13:02	15:05	16:21	19:10	20:00				
南部車庫（加賀産郊外方向）	09:52	13:04	15:07	16:23	19:12	20:02				
南部車庫-A	-	-	-	-	-	-				
加賀産みずほ台-A	09:53	13:05	15:08	16:24	19:13	20:03				
加賀産藤の木（辰口方向）	09:55	13:07	15:10	16:26	19:15	20:05				
加賀産山島台ニュータウン-A	09:56	13:08	15:11	16:27	19:16	20:06				
三ツ口	-	-	-	-	-	-				
宮竹（先端大学院から）	-	-	-	-	-	-				
宮竹小学校前-A	-	-	-	-	-	-				
宮竹（先端大学院方向）	-	-	-	-	-	-				
大学院口	-	-	-	-	-	-				
先端大学院	-	-	-	-	-	-				
三ツ口	-	-	-	-	-	-				
岩内-B	09:58	13:10	15:13	16:29	19:18	20:08				
火釜	09:59	13:11	15:14	16:30	19:19	20:09				
来丸	10:00	13:12	15:15	16:31	19:20	20:10				
山田	10:01	13:13	15:16	16:32	19:21	20:11				
三ツ屋	10:02	13:14	15:17	16:33	19:22	20:12				
辰口-A	10:03	13:15	15:18	16:34	19:23	20:13				
辰口温泉	10:04	13:16	15:19	16:35	19:24	20:14				
辰口丘陵公園口-A	10:05	13:17	15:20	16:36	19:25	20:15				
緑ケ丘一丁目-B	10:06	13:18	15:21	16:37	19:26	20:16				
緑ケ丘四丁目-A	10:07	13:19	15:22	16:38	19:27	20:17				
辰口ハイタウン-A	10:08	13:20	15:23	16:39	19:28	20:18				
緑ケ丘九丁目-A	-	-	-	16:40	19:29	20:19				
緑ケ丘十丁目-A	-	-	-	16:41	19:30	20:20				
いしかわ動物園	10:10	13:22	15:25	-	-	-				
辰口和光台	10:19	13:30	15:34	16:51	19:40	20:30				
