始発停留所	香林坊（アトリオ前）	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	金沢駅【８】	
始発時間	07:55	09:31	10:38	12:31	14:00	15:41	17:12	18:56	19:36	
終点時間	09:09	10:40	11:29	13:41	15:16	16:51	18:28	20:06	20:52	
終点停留所	辰口和光台	辰口和光台	南部車庫-A	辰口和光台	辰口和光台	辰口和光台	辰口和光台	辰口和光台	辰口和光台	
備考										
金沢駅【８】		09:31	10:38	12:31	14:00	15:41	17:12	18:56	19:36	
リファーレ前-A		09:33	10:40	12:33	14:02	15:43	17:14	18:58	19:38	
武蔵ヶ辻（近江町市場前）		09:36	10:43	12:36	14:05	15:46	17:17	19:01	19:40	
南町-A		09:38	10:45	12:38	14:07	15:48	17:19	19:03	19:41	
香林坊（アトリオ前）	07:55	09:40	10:47	12:40	14:09	15:50	17:21	19:05	19:43	
片町（パシオン前）	07:57	09:43	10:50	12:43	14:12	15:53	17:24	19:08	19:46	
広小路（有松方向）	07:59	09:45	10:52	12:45	14:14	15:55	17:26	19:10	19:48	
野町-A	08:00	09:46	10:53	12:46	14:15	15:56	17:27	19:11	19:49	
泉一丁目-A	08:01	09:47	10:54	12:47	14:16	15:57	17:28	19:12	19:50	
泉二丁目-A	08:03	09:49	10:56	12:49	14:18	15:59	17:30	19:14	19:52	
有松（寺地方向）	08:05	09:51	10:58	12:51	14:20	16:01	17:32	19:16	19:54	
上有松-A	08:06	09:52	10:59	12:52	14:21	16:02	17:33	19:17	19:55	
寺地-A	08:07	09:53	11:00	12:53	14:22	16:03	17:34	19:18	19:56	
伏見台（郊外方向）	08:08	09:54	11:01	12:54	14:23	16:04	17:35	19:19	19:57	
錦丘高校前（四十万方向）	08:09	09:55	11:02	12:55	14:24	16:05	17:36	19:20	19:58	
三馬日赤病院前-A	08:11	09:57	11:03	12:57	14:26	16:07	17:38	19:22	20:00	
金沢工業大学（四十万方向）	08:13	09:58	11:05	12:58	14:27	16:08	17:39	19:23	20:01	
扇が丘-A	08:14	09:59	11:06	12:59	14:28	16:09	17:40	19:24	20:02	
扇台小学校前-A	08:15	10:00	11:07	13:00	14:29	16:10	17:41	19:25	20:03	
光が丘口（四十万方向）	08:17	10:02	11:09	13:02	14:31	16:12	17:43	19:27	20:05	
大額二丁目-A	08:18	10:03	11:10	13:03	14:32	16:13	17:44	19:28	20:06	
大額三丁目-A	08:19	10:04	11:11	13:04	14:33	16:14	17:45	19:29	20:07	
額中学校前-A	08:21	10:05	11:12	13:05	14:34	16:15	17:46	19:30	20:08	
しじま台-A	08:22	10:06	11:13	13:06	14:35	16:16	17:47	19:31	20:09	
四十万-A	08:23	10:07	11:14	13:07	14:36	16:17	17:48	19:32	20:10	
中四十万（南部車庫方向）	08:24	10:08	11:15	13:08	14:37	16:18	17:49	19:33	20:11	
加賀産新庄-A	08:26	10:10	11:17	13:10	14:39	16:20	17:51	19:35	20:13	
加賀産上林-A	08:28	10:11	11:19	13:11	14:40	16:21	17:52	19:36	20:14	
南部車庫（加賀産郊外方向）	08:30	10:13	-	13:13	14:42	16:23	17:54	19:38	20:16	
南部車庫-A	-	-	11:29	-	-	-	-	-	-	
加賀産みずほ台-A	08:32	10:14		13:14	14:43	16:24	17:55	19:39	20:17	
加賀産藤の木（辰口方向）	08:33	10:16		13:16	14:45	16:26	17:57	19:41	20:19	
加賀産山島台ニュータウン-A	08:34	10:17		13:17	14:46	16:27	17:58	19:42	20:20	
三ツ口	08:36	-		-	-	-	-	-	-	
宮竹（先端大学院から）	-	-		-	14:51	-	18:03	-	20:25	
宮竹小学校前-A	08:38	-		-	14:52	-	18:04	-	20:26	
宮竹（先端大学院方向）	08:40	-		-	-	-	-	-	-	
大学院口	08:42	-		-	-	-	-	-	-	
先端大学院	08:43	-		-	-	-	-	-	-	
三ツ口	08:46	-		-	14:53	-	18:05	-	20:27	
岩内-B	08:47	10:19		13:19	14:54	16:29	18:06	19:44	20:28	
火釜	08:48	10:20		13:20	14:55	16:30	18:07	19:45	20:29	
来丸	08:49	10:21		13:21	14:56	16:31	18:08	19:46	20:30	
山田	08:50	10:22		13:22	14:57	16:32	18:09	19:47	20:31	
三ツ屋	08:51	10:23		13:23	14:58	16:33	18:10	19:48	20:32	
辰口-A	08:52	10:24		13:24	14:59	16:34	18:11	19:49	20:33	
辰口温泉	08:53	10:25		13:25	15:00	16:35	18:12	19:50	20:34	
辰口丘陵公園口-A	08:54	10:26		13:26	15:01	16:36	18:13	19:51	20:35	
緑ケ丘一丁目-B	08:55	10:27		13:27	15:02	16:37	18:14	19:52	20:36	
緑ケ丘四丁目-A	08:56	10:28		13:28	15:03	16:38	18:15	19:53	20:37	
辰口ハイタウン-A	08:57	10:29		13:29	15:04	16:39	18:16	19:54	20:38	
緑ケ丘九丁目-A	08:58	-		13:30	15:05	16:40	18:17	19:55	20:39	
緑ケ丘十丁目-A	08:59	-		13:31	15:06	16:41	18:18	19:56	20:40	
いしかわ動物園	-	10:31		-	-	-	-	-	-	
辰口和光台	09:09	10:40		13:41	15:16	16:51	18:28	20:06	20:52	
