始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】		
始発時間	07:50	08:22	08:40	09:22	09:52	10:25	10:52	11:22	12:10	12:42	13:22	14:10	14:42	15:22	16:23	16:42	17:22	18:10	18:45	19:32	20:22	21:12	22:12		
終点時間	08:24	08:58	09:21	10:03	10:28	11:06	11:28	11:58	12:46	13:18	13:58	14:54	15:21	16:06	17:07	17:21	17:58	18:46	19:24	20:06	20:56	21:46	22:46		
終点停留所	野々市車庫-A	野々市車庫-A	野々市市役所	野々市市役所	野々市車庫-A	野々市市役所	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市市役所	野々市車庫-A	野々市市役所	野々市市役所	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市市役所	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A		
備考		ノンステップバス								ノンステップバス			ノンステップバス												
金大附校自衛隊前-B																									
平和町（柳橋方向）																									
二水高校前-B																									
市総合体育館前-C																									
泉丘高校前-A																									
円光寺（郊外方向）																									
窪（工大方向）																									
錦丘高校前（窪から）																									
三馬日赤病院前-A																									
金沢工業大学（四十万方向）																									
扇が丘-A																									
扇が丘西																									
県庁前-B																									
駅西合庁前（西念南方向）																									
西念西-B																									
西念南-B																									
広岡-B																									
金沢駅西口降車																									
金沢駅西口【５】																									
金沢駅東通り-B																									
金沢駅【９】	07:50	08:22	08:40	09:22	09:52	10:25	10:52	11:22	12:10	12:42	13:22	14:10	14:42	15:22	16:23	16:42	17:22	18:10	18:45	19:32	20:22	21:12	22:12		
リファーレ前-A	07:52	08:24	08:42	09:24	09:54	10:27	10:54	11:24	12:12	12:44	13:24	14:12	14:44	15:24	16:25	16:44	17:24	18:12	18:47	19:34	20:24	21:14	22:14		
