始発停留所	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金大附校自衛隊前-B	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	県庁前-B	金大附校自衛隊前-B	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】	金沢駅【９】
始発時間	07:08	07:30	07:55	08:40	09:00	09:30	09:50	10:05	10:25	10:40	11:10	11:50	12:20	12:50	13:25	14:10	14:25	15:10	15:25	15:40	15:55	16:15	16:23	16:55	17:20	17:55	18:01	18:30	18:50	19:10	19:50	20:20	20:55	21:35	22:35
終点時間	07:50	08:12	08:42	09:24	09:44	10:09	10:29	10:44	11:09	11:19	11:49	12:29	12:59	13:29	14:04	14:54	15:04	15:49	16:04	16:22	16:37	16:55	17:10	17:42	18:02	18:37	19:05	19:10	19:27	19:44	20:29	20:54	21:29	22:09	23:09
終点停留所	野々市車庫-A	野々市車庫-A	野々市市役所	野々市市役所	野々市市役所	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市市役所	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市市役所	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市駅（押越方向）	野々市市役所	野々市市役所	野々市車庫-A	野々市車庫-A	野々市市役所	野々市駅（押越方向）	野々市車庫-A	野々市車庫-A	野々市市役所	野々市車庫-A	野々市車庫-A	野々市車庫-A	野々市車庫-A
備考		ノンステップバス				ノンステップバス						ノンステップバス										冬期運行、学期休運休						冬期運行、学期休運休							
金大附校自衛隊前-B																						16:15						18:30							
平和町（柳橋方向）																						16:16						18:31							
二水高校前-B																						16:18						18:33							
市総合体育館前-C																						16:19						18:34							
泉丘高校前-A																						16:21						18:36							
円光寺（郊外方向）																						16:23						18:38							
窪（工大方向）																						16:25						18:40							
錦丘高校前（窪から）																						16:26						18:41							
三馬日赤病院前-A																						16:27						18:42							
金沢工業大学（四十万方向）																						16:29						18:44							
扇が丘-A																						16:30						18:45							
扇が丘西																						16:32						18:47							
県庁前-B																						-					18:01	-							
駅西合庁前（西念南方向）																						-					18:04	-							
西念西-B																						-					18:05	-							
西念南-B																						-					18:06	-							
広岡-B																						-					18:08	-							
金沢駅西口降車																						-					18:12	-							
金沢駅西口【５】																						-					18:12	-							
金沢駅東通り-B																						-					18:14	-							
金沢駅【９】	07:08	07:30	07:55	08:40	09:00	09:30	09:50	10:05	10:25	10:40	11:10	11:50	12:20	12:50	13:25	14:10	14:25	15:10	15:25	15:40	15:55	-	16:23	16:55	17:20	17:55	18:18	-	18:50	19:10	19:50	20:20	20:55	21:35	22:35
リファーレ前-A	07:10	07:32	07:57	08:42	09:02	09:32	09:52	10:07	10:27	10:42	11:12	11:52	12:22	12:52	13:27	14:12	14:27	15:12	15:27	15:42	15:57	-	16:25	16:57	17:22	17:57	18:20	-	18:52	19:12	19:52	20:22	20:57	21:37	22:37
武蔵ヶ辻（近江町市場前）	07:12	07:35	08:00	08:45	09:05	09:35	09:55	10:10	10:30	10:45	11:15	11:55	12:25	12:55	13:30	14:15	14:30	15:15	15:30	15:45	16:00	-	16:28	17:00	17:25	18:00	18:23	-	18:55	19:15	19:54	20:24	20:59	21:39	22:39
南町-A	07:13	07:37	08:02	08:47	09:07	09:37	09:57	10:12	10:32	10:47	11:17	11:57	12:27	12:57	13:32	14:17	14:32	15:17	15:32	15:47	16:02	-	16:30	17:02	17:27	18:02	18:25	-	18:57	19:17	19:55	20:25	21:00	21:40	22:40
香林坊（アトリオ前）	07:15	07:39	08:04	08:49	09:09	09:39	09:59	10:14	10:34	10:49	11:19	11:59	12:29	12:59	13:34	14:19	14:34	15:19	15:34	15:49	16:04	-	16:32	17:04	17:29	18:04	18:27	-	18:59	19:19	19:57	20:27	21:02	21:42	22:42
片町（パシオン前）	07:18	07:42	08:07	08:52	09:12	09:42	10:02	10:17	10:37	10:52	11:22	12:02	12:32	13:02	13:37	14:22	14:37	15:22	15:37	15:52	16:07	-	16:35	17:07	17:32	18:07	18:30	-	19:02	19:22	20:00	20:30	21:05	21:45	22:45
広小路（有松方向）	07:20	07:44	08:09	08:54	09:14	09:44	10:04	10:19	10:39	10:54	11:24	12:04	12:34	13:04	13:39	14:24	14:39	15:24	15:39	15:54	16:09	-	16:37	17:09	17:34	18:09	18:33	-	19:04	19:24	20:02	20:32	21:07	21:47	22:47
野町-A	07:21	07:45	08:10	08:55	09:15	09:45	10:05	10:20	10:40	10:55	11:25	12:05	12:35	13:05	13:40	14:25	14:40	15:25	15:40	15:55	16:10	-	16:38	17:10	17:35	18:10	18:35	-	19:05	19:25	20:03	20:33	21:08	21:48	22:48
泉一丁目-A	07:22	07:46	08:11	08:56	09:16	09:46	10:06	10:21	10:41	10:56	11:26	12:06	12:36	13:06	13:41	14:26	14:41	15:26	15:41	15:56	16:11	-	16:39	17:11	17:36	18:11	18:36	-	19:06	19:26	20:04	20:34	21:09	21:49	22:49
泉新町-A	07:23	07:47	08:12	08:57	09:17	09:47	10:07	10:22	10:42	10:57	11:27	12:07	12:37	13:07	13:42	14:27	14:42	15:27	15:42	15:57	16:12	-	16:40	17:12	17:37	18:12	18:37	-	19:07	19:27	20:05	20:35	21:10	21:50	22:50
金沢高校前-A	07:24	07:48	08:13	08:58	09:18	09:48	10:08	10:23	10:43	10:58	11:28	12:08	12:38	13:08	13:43	14:28	14:43	15:28	15:43	15:58	16:13	-	16:41	17:13	17:38	18:13	18:38	-	19:08	19:28	20:06	20:36	21:11	21:51	22:51
西泉（スバル前）	07:25	07:49	08:14	08:59	09:19	09:49	10:09	10:24	10:44	10:59	11:29	12:09	12:39	13:09	13:44	14:29	14:44	15:29	15:44	15:59	16:14	-	16:42	17:14	17:39	18:14	18:39	-	19:09	19:29	20:07	20:37	21:12	21:52	22:52
西泉住宅-A	07:27	07:51	08:16	09:01	09:21	09:51	10:11	10:26	10:46	11:01	11:31	12:11	12:41	13:11	13:46	14:31	14:46	15:31	15:46	16:01	16:16	-	16:44	17:16	17:41	18:16	18:41	-	19:11	19:31	20:09	20:39	21:14	21:54	22:54
伏見橋（交番前）	07:29	07:53	08:18	09:03	09:23	09:53	10:13	10:28	10:48	11:03	11:33	12:13	12:43	13:13	13:48	14:33	14:48	15:33	15:48	16:03	16:18	-	16:46	17:18	17:43	18:18	18:43	-	19:13	19:33	20:11	20:41	21:16	21:56	22:56
押野-A	07:30	07:54	08:19	09:04	09:24	09:54	10:14	10:29	10:49	11:04	11:34	12:14	12:44	13:14	13:49	14:34	14:49	15:34	15:49	16:04	16:19	-	16:47	17:19	17:44	18:19	18:44	-	19:14	19:34	20:12	20:42	21:17	21:57	22:57
東野々市-A	07:32	07:56	08:21	09:06	09:26	09:56	10:16	10:31	10:51	11:06	11:36	12:16	12:46	13:16	13:51	14:36	14:51	15:36	15:51	16:06	16:21	-	16:49	17:21	17:46	18:21	18:46	-	19:16	19:36	20:14	20:44	21:19	21:59	22:59
野々市本町三丁目-A	07:34	07:58	-	-	-	09:58	10:18	10:33	-	11:08	11:38	12:18	12:48	13:18	13:53	-	14:53	15:38	15:53	16:08	16:23	-	-	-	17:48	18:23	-	-	19:18	19:38	-	20:46	21:21	22:01	23:01
西野々市-D	07:35	07:59	-	-	-	09:59	10:19	10:34	-	11:09	11:39	12:19	12:49	13:19	13:54	-	14:54	15:39	15:54	16:09	16:24	-	-	-	17:49	18:24	-	-	19:19	19:39	-	20:47	21:22	22:02	23:02
野々市車庫-A	07:50	08:12	-	-	-	10:09	10:29	10:44	-	11:19	11:49	12:29	12:59	13:29	14:04	-	15:04	15:49	16:04	16:22	16:37	-	-	-	18:02	18:37	-	-	19:27	19:44	-	20:54	21:29	22:09	23:09
住吉町-A			08:23	09:08	09:28				10:53							14:38						-	16:51	17:23			18:48	-			20:16				
菅原小学校前-A			08:24	09:09	09:29				10:54							14:39						16:34	16:52	17:24			18:49	18:49			20:17				
野々市消防署前-A			08:25	09:10	09:30				10:55							14:40						16:36	16:53	17:25			18:50	18:51			20:18				
野々市中学校前-A			08:26	09:11	09:31				10:56							14:41						-	16:54	17:26			18:51	-			20:19				
野々市市役所			08:42	09:24	09:44				11:09							14:54						-	17:10	17:42			19:05	-			20:29				
野々市小学校前																						16:38						18:53							
太平寺（松任方向）																						16:40						18:55							
稲荷北																						16:42						18:57							
御園小学校前																						16:43						18:58							
野々市駅（押越方向）																						16:55						19:10							
