始発停留所	野々市車庫-B	野々市車庫-B	野々市車庫-B		
始発時間	07:30	09:35	11:45		
終点時間	08:12	10:17	12:27		
終点停留所	金沢大学-B	金沢大学-B	金沢大学-B		
備考					
野々市車庫-B	07:30	09:35	11:45		
野々市中央-B	07:32	09:37	11:47		
横宮-B	07:33	09:38	11:48		
伏見橋（ニューハウス前）	07:35	09:40	11:50		
二万堂-B	07:37	09:42	11:52		
有松（二万堂から）	07:39	09:44	11:54		
有松（泉が丘方向）	07:39	09:44	11:54		
泉が丘（図書館前）	07:41	09:46	11:56		
泉野四丁目（寺町方向）	07:42	09:47	11:57		
泉野四丁目（Ｖ１０前）	07:42	09:47	11:57		
泉野一丁目-A	07:44	09:49	11:59		
寺町一丁目（猿丸神社前方向）	07:45	09:50	12:00		
菊川一丁目-B	07:46	09:51	12:01		
猿丸神社前（小立野方向）	07:47	09:52	12:02		
笠舞三丁目-B	07:48	09:53	12:03		
石引二丁目-B	07:49	09:54	12:04		
如来寺前（旭町方向）	07:50	09:55	12:05		
田井町-A	07:52	09:57	12:07		
旭町口-A	07:53	09:58	12:08		
旭町（金大方向）	07:54	09:59	12:09		
若松橋-A	07:55	10:00	12:10		
若松西-A	07:56	10:01	12:11		
若松（若松西から）	07:57	10:02	12:12		
角間新町-A	07:59	10:04	12:14		
金沢大学角間口-A	08:00	10:05	12:15		
金沢大学自然研前	08:01	10:06	12:16		
金沢大学中央-A	08:03	10:08	12:18		
金沢大学-B	08:12	10:17	12:27		
