始発停留所	野々市車庫-B	野々市車庫-B	野々市車庫-B	如来寺前（旭町方向）	如来寺前（旭町方向）	若松橋-A	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B			
始発時間	07:00	07:20	07:30	08:03	08:07	08:30	08:45	09:35	10:05	10:55	11:45	12:40	13:55	15:40	16:30	17:25	18:40			
終点時間	07:42	08:10	08:20	08:21	08:25	08:46	09:27	10:17	10:47	11:37	12:27	13:22	14:37	16:22	17:12	18:07	19:22			
終点停留所	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B	金沢大学-B			
備考		学期休み期間、運休	学期休み期間、運休	学期休み期間、運休	学期休み期間、運休	学期休み期間、運休		学期休み期間、運休	学期休み期間、運休		学期休み期間、運休			学期休み期間、運休		学期休み期間、運休	学期休み期間、運休			
野々市車庫-B	07:00	07:20	07:30				08:45	09:35	10:05	10:55	11:45	12:40	13:55	15:40	16:30	17:25	18:40			
野々市中央-B	07:02	07:22	07:32				08:47	09:37	10:07	10:57	11:47	12:42	13:57	15:42	16:32	17:27	18:42			
横宮-B	07:03	07:23	07:33				08:48	09:38	10:08	10:58	11:48	12:43	13:58	15:43	16:33	17:28	18:43			
伏見橋（ニューハウス前）	07:05	07:25	07:35				08:50	09:40	10:10	11:00	11:50	12:45	14:00	15:45	16:35	17:30	18:45			
二万堂-B	07:07	07:27	07:37				08:52	09:42	10:12	11:02	11:52	12:47	14:02	15:47	16:37	17:32	18:47			
有松（二万堂から）	07:09	07:29	07:39				08:54	09:44	10:14	11:04	11:54	12:49	14:04	15:49	16:39	17:34	18:49			
有松（泉が丘方向）	07:09	07:29	07:39				08:54	09:44	10:14	11:04	11:54	12:49	14:04	15:49	16:39	17:34	18:49			
泉が丘（図書館前）	07:11	07:31	07:41				08:56	09:46	10:16	11:06	11:56	12:51	14:06	15:51	16:41	17:36	18:51			
泉野四丁目（寺町方向）	07:12	07:32	07:44				08:57	09:47	10:17	11:07	11:57	12:52	14:07	15:52	16:42	17:39	18:54			
泉野四丁目（Ｖ１０前）	07:12	07:32	07:44				08:57	09:47	10:17	11:07	11:57	12:52	14:07	15:52	16:42	17:39	18:54			
泉野一丁目-A	07:14	07:34	07:46				08:59	09:49	10:19	11:09	11:59	12:54	14:09	15:54	16:44	17:41	18:56			
寺町一丁目（猿丸神社前方向）	07:15	07:35	07:47				09:00	09:50	10:20	11:10	12:00	12:55	14:10	15:55	16:45	17:42	18:57			
菊川一丁目-B	07:16	07:36	07:48				09:01	09:51	10:21	11:11	12:01	12:56	14:11	15:56	16:46	17:43	18:58			
猿丸神社前（小立野方向）	07:17	07:37	07:50				09:02	09:52	10:22	11:12	12:02	12:57	14:12	15:57	16:47	17:44	18:59			
笠舞三丁目-B	07:18	07:38	07:52				09:03	09:53	10:23	11:13	12:03	12:58	14:13	15:58	16:48	17:45	19:00			
石引二丁目-B	07:19	07:39	07:54				09:04	09:54	10:24	11:14	12:04	12:59	14:14	15:59	16:49	17:46	19:01			
如来寺前（旭町方向）	07:20	07:40	07:56	08:03	08:07		09:05	09:55	10:25	11:15	12:05	13:00	14:15	16:00	16:50	17:47	19:02			
田井町-A	07:22	07:42	07:59	08:05	08:09		09:07	09:57	10:27	11:17	12:07	13:02	14:17	16:02	16:52	17:49	19:04			
旭町口-A	07:23	07:43	08:00	08:06	08:10		09:08	09:58	10:28	11:18	12:08	13:03	14:18	16:03	16:53	17:50	19:05			
旭町（金大方向）	07:24	07:44	08:01	08:07	08:11		09:09	09:59	10:29	11:19	12:09	13:04	14:19	16:04	16:54	17:51	19:06			
若松橋-A	07:25	07:45	08:02	08:08	08:12	08:30	09:10	10:00	10:30	11:20	12:10	13:05	14:20	16:05	16:55	17:52	19:07			
若松西-A	07:26	07:46	08:03	08:09	08:13	08:31	09:11	10:01	10:31	11:21	12:11	13:06	14:21	16:06	16:56	17:53	19:08			
若松（若松西から）	07:27	07:47	08:04	08:10	08:14	08:32	09:12	10:02	10:32	11:22	12:12	13:07	14:22	16:07	16:57	17:54	19:09			
角間新町-A	07:29	07:49	08:06	08:12	08:16	08:34	09:14	10:04	10:34	11:24	12:14	13:09	14:24	16:09	16:59	17:56	19:11			
金沢大学角間口-A	07:30	07:50	08:07	08:13	08:17	08:35	09:15	10:05	10:35	11:25	12:15	13:10	14:25	16:10	17:00	17:57	19:12			
金沢大学自然研前	07:31	07:51	08:08	08:14	08:18	08:36	09:16	10:06	10:36	11:26	12:16	13:11	14:26	16:11	17:01	17:58	19:13			
金沢大学中央-A	07:33	07:53	08:10	08:16	08:20	08:38	09:18	10:08	10:38	11:28	12:18	13:13	14:28	16:13	17:03	18:00	19:15			
金沢大学-B	07:42	08:10	08:20	08:21	08:25	08:46	09:27	10:17	10:47	11:37	12:27	13:22	14:37	16:22	17:12	18:07	19:22			
