始発停留所	金沢大学-B	金沢大学-B	金沢大学-B		
始発時間	08:20	10:35	12:45		
終点時間	09:00	11:17	13:27		
終点停留所	野々市車庫-A	野々市車庫-A	野々市車庫-A		
備考					
金沢大学-B	08:20	10:35	12:45		
金沢大学中央-B	08:21	10:36	12:46		
金沢大学自然研前	-	10:38	12:48		
金沢大学角間口-B	08:22	10:39	12:49		
角間新町-B	08:22	10:40	12:50		
若松（やまや前）	08:23	10:42	12:52		
若松西-B	08:24	10:43	12:53		
若松橋-B	08:25	10:44	12:54		
旭町（市内方向）	08:28	10:45	12:55		
旭町口-B	08:29	10:46	12:56		
田井町-B	08:30	10:47	12:57		
如来寺前（旭町から）	08:32	10:49	12:59		
石引二丁目-A	08:33	10:50	13:00		
笠舞三丁目-A	08:34	10:51	13:01		
猿丸神社前（寺町方向）	08:35	10:52	13:02		
菊川一丁目-A	08:36	10:53	13:03		
寺町一丁目（猿丸神社前から）	08:37	10:54	13:04		
寺町一丁目（泉が丘方向）	08:37	10:54	13:04		
泉野一丁目-B	08:38	10:55	13:05		
泉野四丁目（有松方向）	08:39	10:56	13:06		
泉が丘（有松方向）	08:41	10:58	13:08		
有松（泉が丘から）	08:43	11:00	13:10		
有松（郵便局前）	08:43	11:00	13:10		
二万堂-A	08:45	11:02	13:12		
伏見橋（国道松任方向）	08:47	11:04	13:14		
横宮-A	08:49	11:06	13:16		
野々市中央-A	08:50	11:07	13:17		
野々市車庫-A	09:00	11:17	13:27		
