始発停留所	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】	金沢駅【６】			
始発時間	07:15	08:10	08:50	09:35	10:15	11:25	12:25	13:20	14:05	15:00	15:55	16:25	17:25	18:25	19:25	20:25	21:30			
終点時間	07:52	08:47	09:27	10:12	10:52	12:02	13:02	13:57	14:42	15:37	16:32	17:02	18:02	19:02	20:02	21:02	22:07			
終点停留所	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台	朝霧台			
備考				ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス							
県庁前-B																				
駅西合庁前（西念南方向）																				
西念西-B																				
西念南-B																				
広岡-B																				
金沢駅西口降車																				
金沢駅西口【５】																				
金沢駅東通り-B																				
金沢駅【６】	07:15	08:10	08:50	09:35	10:15	11:25	12:25	13:20	14:05	15:00	15:55	16:25	17:25	18:25	19:25	20:25	21:30			
リファーレ前-A	07:17	08:12	08:52	09:37	10:17	11:27	12:27	13:22	14:07	15:02	15:57	16:27	17:27	18:27	19:27	20:27	21:32			
武蔵ヶ辻（近江町市場前）	07:19	08:15	08:55	09:40	10:20	11:30	12:30	13:25	14:10	15:05	16:00	16:30	17:30	18:30	19:30	20:29	21:34			
南町-A	07:20	08:17	08:57	09:42	10:22	11:32	12:32	13:27	14:12	15:07	16:02	16:32	17:32	18:32	19:32	20:30	21:35			
香林坊（アトリオ前）	07:22	08:19	08:59	09:44	10:24	11:34	12:34	13:29	14:14	15:09	16:04	16:34	17:34	18:34	19:34	20:32	21:37			
香林坊（中央公園前）	07:22	08:19	08:59	09:44	10:24	11:34	12:34	13:29	14:14	15:09	16:04	16:34	17:34	18:34	19:34	20:32	21:37			
広坂（しいのき迎賓館前）	07:23	08:20	09:00	09:45	10:25	11:35	12:35	13:30	14:15	15:10	16:05	16:35	17:35	18:35	19:35	20:33	21:38			
兼六園下（北鉄車庫前）	07:25	08:22	09:02	09:47	10:27	11:37	12:37	13:32	14:17	15:12	16:07	16:37	17:37	18:37	19:37	20:35	21:40			
小将町-A	07:26	08:23	09:03	09:48	10:28	11:38	12:38	13:33	14:18	15:13	16:08	16:38	17:38	18:38	19:38	20:36	21:41			
横山町-A	07:27	08:24	09:04	09:49	10:29	11:39	12:39	13:34	14:19	15:14	16:09	16:39	17:39	18:39	19:39	20:37	21:42			
暁町-A	07:28	08:25	09:05	09:50	10:30	11:40	12:40	13:35	14:20	15:15	16:10	16:40	17:40	18:40	19:40	20:38	21:43			
桜町-A	07:29	08:26	09:06	09:51	10:31	11:41	12:41	13:36	14:21	15:16	16:11	16:41	17:41	18:41	19:41	20:39	21:44			
鈴見台一丁目（田上方向）	07:31	08:28	09:08	09:53	10:33	11:43	12:43	13:38	14:23	15:18	16:13	16:43	17:43	18:43	19:43	20:41	21:46			
鈴見台二丁目（若松方向）	07:32	08:29	09:09	09:54	10:34	11:44	12:44	13:39	14:24	15:19	16:14	16:44	17:44	18:44	19:44	20:42	21:47			
若谷-A	07:33	08:30	09:10	09:55	10:35	11:45	12:45	13:40	14:25	15:20	16:15	16:45	17:45	18:45	19:45	20:43	21:48			
若松（田上方向）	07:35	08:32	09:12	09:57	10:37	11:47	12:47	13:42	14:27	15:22	16:17	16:47	17:47	18:47	19:47	20:45	21:50			
上若松	07:36	08:33	09:13	09:58	10:38	11:48	12:48	13:43	14:28	15:23	16:18	16:48	17:48	18:48	19:48	20:46	21:51			
田上二丁目-B	07:37	08:34	09:14	09:59	10:39	11:49	12:49	13:44	14:29	15:24	16:19	16:49	17:49	18:49	19:49	20:47	21:52			
田上新町-A	07:38	08:35	09:15	10:00	10:40	11:50	12:50	13:45	14:30	15:25	16:20	16:50	17:50	18:50	19:50	20:48	21:53			
田上一丁目-A	07:39	08:36	09:16	10:01	10:41	11:51	12:51	13:46	14:31	15:26	16:21	16:51	17:51	18:51	19:51	20:49	21:54			
田上本町-A	07:41	08:38	09:18	10:03	10:43	11:53	12:53	13:48	14:33	15:28	16:23	16:53	17:53	18:53	19:53	20:51	21:56			
石川森林管理署前-A	07:42	08:39	09:19	10:04	10:44	11:54	12:54	13:49	14:34	15:29	16:24	16:54	17:54	18:54	19:54	20:52	21:57			
朝霧台	07:52	08:47	09:27	10:12	10:52	12:02	13:02	13:57	14:42	15:37	16:32	17:02	18:02	19:02	20:02	21:02	22:07			
