始発停留所	辰巳丘高校-B	金沢駅西口【４】	東部車庫-A	東部車庫-A	金沢駅西口【４】	東部車庫-A	辰巳丘高校-B	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学（小立野方向）	東部車庫-A	東部車庫-A	東部車庫-A	辰巳丘高校-B	金沢東高校（小立野方向）	金沢学院大学（小立野方向）	東部車庫-A	金沢学院大学（小立野方向）	金沢駅西口【４】	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学（小立野方向）	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A			
始発時間	06:58	07:00	07:02	07:25	07:25	07:45	07:55	08:20	08:45	09:00	09:15	09:50	10:20	10:45	11:20	11:55	12:25	12:53	13:20	14:00	14:35	15:00	15:40	15:58	16:30	16:30	17:00	17:30	17:40	18:20	19:00	19:30	19:35	20:15	20:40	21:10	21:47			
終点時間	07:37	07:31	08:20	08:43	07:56	09:03	08:25	09:34	09:25	09:40	10:23	10:58	11:29	11:53	12:33	13:04	13:33	14:02	14:33	15:08	15:44	16:13	16:46	17:12	17:44	17:10	18:23	18:05	18:58	19:34	20:07	20:38	20:40	21:15	21:40	22:09	22:46			
終点停留所	金沢駅【降車場】	コマツ金沢工場-A	コマツ金沢工場-A	コマツ金沢工場-A	コマツ金沢工場-A	コマツ金沢工場-A	香林坊（日銀前）	内灘駅（ターミナル内）	金沢駅【降車場】	金沢駅【降車場】	粟崎三丁目-B	粟崎三丁目-B	内灘駅（ターミナル内）	粟崎三丁目-B	コマツ金沢工場-A	内灘駅（ターミナル内）	粟崎三丁目-B	内灘駅（ターミナル内）	粟崎三丁目-B	粟崎三丁目-B	内灘駅（ターミナル内）	コマツ金沢工場-A	粟崎三丁目-B	コマツ金沢工場-A	内灘駅（ターミナル内）	金沢駅【降車場】	コマツ金沢工場-A	コマツ金沢工場-A	コマツ金沢工場-A	内灘駅（ターミナル内）	コマツ金沢工場-A	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	粟崎三丁目-B	粟崎三丁目-B			
備考							学期休み期間、運休																									学期休み期間、運休	学期休み期間のみ運行				ノンステップバス			
金沢学院大学（小立野方向）																			13:20						16:30		17:00					19:30								
金沢東高校（小立野方向）																			13:24					15:58	16:34		17:04					19:34								
東部車庫-B																			13:25					15:59	16:35		17:05					19:35								
東部車庫-A			07:02	07:25		07:45		08:20	08:45	09:00	09:15	09:50	10:20	10:45	11:20	11:55	12:25	12:53	-	14:00	14:35	15:00		-	-	16:30	-		17:40	18:20	19:00	-	19:35	20:15	20:40	21:10	21:47			
都雅野住宅-B			07:02	07:25		07:45		08:20	08:45	09:00	09:15	09:50	10:20	10:45	11:20	11:55	12:25	12:53	13:25	14:00	14:35	15:00		15:59	16:35	16:30	17:05		17:40	18:20	19:00	19:35	19:35	20:15	20:40	21:10	21:47			
末-B			07:03	07:26		07:46		08:21	08:46	09:01	09:16	09:51	10:21	10:46	11:21	11:56	12:26	12:54	13:26	14:01	14:36	15:01		16:00	16:36	16:31	17:06		17:41	18:21	19:01	19:36	19:36	20:16	20:41	21:11	21:48			
永安町（小立野方向）			07:04	07:27		07:47		08:22	08:47	09:02	09:17	09:52	10:22	10:47	11:22	11:57	12:27	12:55	13:27	14:02	14:37	15:02		16:01	16:37	16:32	17:07		17:42	18:22	19:02	19:37	19:37	20:17	20:42	21:12	21:49			
大道割口-B			07:05	07:28		07:48		08:23	08:48	09:03	09:18	09:53	10:23	10:48	11:23	11:58	12:28	12:56	13:28	14:03	14:38	15:03		16:02	16:38	16:33	17:08		17:43	18:23	19:03	19:38	19:38	20:18	20:43	21:13	21:50			
辰巳丘高校-B	06:58		-	-		-	07:55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:40	-	-	-	-		-	-	-	-	-	-	-	-	-			
舘山町-B	06:59		-	-		-	07:56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:41	-	-	-	-		-	-	-	-	-	-	-	-	-			
土清水南-B	07:00		-	-		-	07:57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:42	-	-	-	-		-	-	-	-	-	-	-	-	-			
土清水-B	07:01		07:06	07:29		07:49	07:58	08:24	08:49	09:04	09:19	09:54	10:24	10:49	11:24	11:59	12:29	12:57	13:29	14:04	14:39	15:04	15:43	16:03	16:39	16:34	17:09		17:44	18:24	19:04	19:39	19:39	20:19	20:44	21:14	21:51			
土清水口-B	07:02		07:07	07:30		07:50	07:59	08:25	08:50	09:05	09:20	09:55	10:25	10:50	11:25	12:00	12:30	12:58	13:30	14:05	14:40	15:05	15:44	16:04	16:40	16:35	17:10		17:45	18:25	19:05	19:40	19:40	20:20	20:45	21:15	21:52			
錦町（Ｋマート）	07:05		07:10	07:33		07:53	08:02	08:28	08:53	09:08	09:23	09:58	10:28	10:53	11:28	12:03	12:33	13:01	13:33	14:08	14:43	15:08	15:47	16:07	16:43	16:38	17:13		17:48	18:28	19:08	19:43	19:43	20:23	20:48	21:18	21:55			
小立野一丁目-B	07:06		07:11	07:34		07:54	08:03	08:29	08:54	09:09	09:24	09:59	10:29	10:54	11:29	12:04	12:34	13:02	13:34	14:09	14:44	15:09	15:48	16:08	16:44	16:39	17:14		17:49	18:29	19:09	19:44	19:44	20:24	20:49	21:19	21:56			
崎浦公民館-B	07:07		07:12	07:35		07:55	08:04	08:30	08:55	09:10	09:25	10:00	10:30	10:55	11:30	12:05	12:35	13:03	13:35	14:10	14:45	15:10	15:49	16:09	16:45	16:40	17:15		17:50	18:30	19:10	19:45	19:45	20:25	20:50	21:20	21:57			
小立野三丁目-B	07:08		07:13	07:36		07:56	08:05	08:31	08:56	09:11	09:26	10:01	10:31	10:56	11:31	12:06	12:36	13:04	13:36	14:11	14:46	15:11	15:50	16:10	16:46	16:41	17:16		17:51	18:31	19:11	19:46	19:46	20:26	20:51	21:21	21:58			
天徳院前-B	07:09		07:14	07:37		07:57	08:06	08:32	08:57	09:12	09:27	10:02	10:32	10:57	11:32	12:07	12:37	13:05	13:37	14:12	14:47	15:12	15:51	16:11	16:47	16:42	17:17		17:52	18:32	19:12	19:47	19:47	20:27	20:52	21:22	21:59			
