始発停留所	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A		
始発時間	06:53	07:32	08:17	08:47	09:17	09:47	10:17	10:47	11:17	11:47	12:17	12:57	13:37	14:17	14:57	15:20	15:40	16:00	16:12	16:42	17:22	18:00	18:20	18:35	19:10	19:45	20:25	21:05		
終点時間	08:01	08:36	09:20	09:53	10:22	10:55	11:23	11:52	12:30	12:53	13:22	14:05	14:43	15:25	16:10	16:00	16:46	16:40	17:25	17:55	18:30	19:09	19:00	19:43	20:11	20:45	21:25	22:05		
終点停留所	コマツ金沢工場-A	内灘駅（ターミナル内）	粟崎三丁目-B	内灘駅（ターミナル内）	粟崎三丁目-B	粟崎三丁目-B	内灘駅（ターミナル内）	粟崎三丁目-B	コマツ金沢工場-A	内灘駅（ターミナル内）	粟崎三丁目-B	粟崎三丁目-B	内灘駅（ターミナル内）	粟崎三丁目-B	コマツ金沢工場-A	金沢駅【降車場】	内灘駅（ターミナル内）	金沢駅【降車場】	コマツ金沢工場-A	コマツ金沢工場-A	粟崎三丁目-B	内灘駅（ターミナル内）	金沢駅【降車場】	粟崎三丁目-B	内灘駅（ターミナル内）	粟崎三丁目-B	粟崎三丁目-B	粟崎三丁目-B		
備考																														
金沢学院大学（小立野方向）																														
金沢東高校（小立野方向）																														
東部車庫-B																														
東部車庫-A	06:53	07:32	08:17	08:47	09:17	09:47	10:17	10:47	11:17	11:47	12:17	12:57	13:37	14:17	14:57	15:20	15:40	16:00	16:12	16:42	17:22	18:00	18:20	18:35	19:10	19:45	20:25	21:05		
都雅野住宅-B	06:53	07:32	08:17	08:47	09:17	09:47	10:17	10:47	11:17	11:47	12:17	12:57	13:37	14:17	14:57	15:20	15:40	16:00	16:12	16:42	17:22	18:00	18:20	18:35	19:10	19:45	20:25	21:05		
末-B	06:54	07:33	08:18	08:48	09:18	09:48	10:18	10:48	11:18	11:48	12:18	12:58	13:38	14:18	14:58	15:21	15:41	16:01	16:13	16:43	17:23	18:01	18:21	18:36	19:11	19:46	20:26	21:06		
永安町（小立野方向）	06:55	07:34	08:19	08:49	09:19	09:49	10:19	10:49	11:19	11:49	12:19	12:59	13:39	14:19	14:59	15:22	15:42	16:02	16:14	16:44	17:24	18:02	18:22	18:37	19:12	19:47	20:27	21:07		
大道割口-B	06:56	07:35	08:20	08:50	09:20	09:50	10:20	10:50	11:20	11:50	12:20	13:00	13:40	14:20	15:00	15:23	15:43	16:03	16:15	16:45	17:25	18:03	18:23	18:38	19:13	19:48	20:28	21:08		
辰巳丘高校-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
舘山町-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
土清水南-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
土清水-B	06:57	07:36	08:21	08:51	09:21	09:51	10:21	10:51	11:21	11:51	12:21	13:01	13:41	14:21	15:01	15:24	15:44	16:04	16:16	16:46	17:26	18:04	18:24	18:39	19:14	19:49	20:29	21:09		
土清水口-B	06:58	07:37	08:22	08:52	09:22	09:52	10:22	10:52	11:22	11:52	12:22	13:02	13:42	14:22	15:02	15:25	15:45	16:05	16:17	16:47	17:27	18:05	18:25	18:40	19:15	19:50	20:30	21:10		
