始発停留所	粟崎三丁目-B	医大病院-B	医大病院-B	粟崎三丁目-B	西割出-B	内灘駅（ターミナル内）	内灘駅（ターミナル内）	西割出-B	コマツ金沢工場（待機場所）	コマツ金沢工場（待機場所）	粟崎三丁目-B	内灘駅（ターミナル内）	コマツ金沢工場（待機場所）	コマツ金沢工場（待機場所）	コマツ金沢工場（待機場所）	コマツ金沢工場（待機場所）	内灘駅（ターミナル内）	粟崎三丁目-B	粟崎三丁目-B	内灘駅（ターミナル内）	粟崎三丁目-B	コマツ金沢工場（待機場所）	内灘駅（ターミナル内）	粟崎三丁目-B	内灘駅（ターミナル内）	粟崎三丁目-B	粟崎三丁目-B	内灘駅（ターミナル内）	コマツ金沢工場（待機場所）	粟崎三丁目-B	コマツ金沢工場（待機場所）	内灘駅（ターミナル内）	コマツ金沢工場（待機場所）	コマツ金沢工場（待機場所）	コマツ金沢工場（待機場所）	内灘駅（ターミナル内）	コマツ金沢工場（待機場所）	内灘駅（ターミナル内）	コマツ金沢工場（待機場所）	金沢駅西口【５】
始発時間	06:43	07:00	07:00	07:03	07:05	07:15	07:30	07:30	07:40	07:40	08:10	08:33	08:55	08:55	09:25	09:25	09:50	10:30	11:05	11:35	12:10	12:40	13:10	13:45	14:10	14:50	15:15	15:50	16:25	17:00	17:25	17:55	18:10	18:30	19:15	19:40	20:15	20:55	21:30	22:30
終点時間	07:24	07:53	07:48	08:15	07:19	08:30	07:54	07:44	09:00	08:56	08:38	09:46	10:10	10:07	10:40	10:37	11:03	11:36	12:11	12:44	13:20	13:55	14:19	14:51	15:19	15:56	16:21	16:59	17:36	18:11	18:41	19:09	18:43	19:46	20:26	20:40	21:17	21:55	22:32	23:08
終点停留所	兼六園下（北鉄車庫前）	星稜高校（駐車場内）	兼六園下（北鉄車庫前）	金沢東高校-A	金沢駅【降車場】	金沢東高校-A	金沢駅西口降車	金沢駅【降車場】	金沢学院大学-A	東部車庫-A	金沢駅西口降車	金沢学院大学-A	金沢学院大学-A	金沢東高校-A	金沢学院大学-A	金沢東高校-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢駅西口降車	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A
備考	ノンステップバス	学期休み期間、運休	学期休み期間のみ運行					ノンステップバス	学期休み期間、運休	学期休み期間のみ運行			学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休	学期休み期間のみ運行																					ノンステップバス			
医大病院-B		07:00	07:00																																					
大学前-B		07:01	07:01																																					
大清台-B		07:02	07:02																																					
大根布六丁目-B		07:03	07:03																																					
鶴ケ丘五丁目-B		07:04	07:04																																					
鶴ケ丘四丁目（内灘駅方向）		07:05	07:05																																					
向陽台（マルエー向）		07:07	07:07																																					
内灘駅（ターミナル内）		-	-			07:15	07:30					08:33					09:50			11:35			13:10		14:10			15:50				17:55				19:40		20:55		
緑台一丁目-B		07:08	07:08			07:16	07:31					08:34					09:51			11:36			13:11		14:11			15:51				17:56				19:41		20:56		
緑台二丁目-B		07:09	07:09			07:17	07:32					08:35					09:52			11:37			13:12		14:12			15:52				17:57				19:42		20:57		
旭ケ丘（市内方向）		07:10	07:10			07:18	07:33					08:36					09:53			11:38			13:13		14:13			15:53				17:58				19:43		20:58		
粟崎二丁目-B		07:11	07:11			07:19	07:34					08:37					09:54			11:39			13:14		14:14			15:54				17:59				19:44		20:59		
コマツ金沢工場（待機場所）		-	-			-	-		07:40	07:40		-	08:55	08:55	09:25	09:25	-			-		12:40	-		-			-	16:25		17:25	-	18:10	18:30	19:15	-	20:15	-	21:30	
