始発停留所	野々市車庫-B	野々市車庫-B	富光寺住宅前	野々市車庫-B	野々市車庫-B	富光寺住宅前	野々市車庫-B	野町駅-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B		
始発時間	06:00	06:36	07:10	07:12	07:52	08:35	09:06	10:02	10:21	11:01	12:21	13:41	14:16	15:26	16:31	17:42	18:54	20:14		
終点時間	06:40	07:16	08:04	08:08	08:56	09:29	10:02	10:38	11:04	12:05	13:17	14:24	15:12	16:22	17:14	18:22	19:34	20:52		
終点停留所	小立野大学病院前（降車場）	小立野大学病院前（降車場）	小立野大学病院前（降車場）	辰巳丘高校-B	北陸大学薬学部（降車）	小立野大学病院前（降車場）	辰巳丘高校-B	北大太陽が丘-B	小立野大学病院前（降車場）	北陸大学薬学部（降車）	辰巳丘高校-B	小立野大学病院前（降車場）	北大太陽が丘-B	辰巳丘高校-B	小立野大学病院前（降車場）	小立野大学病院前（降車場）	小立野大学病院前（降車場）	小立野大学病院前（降車場）		
備考							ノンステップバス													
富光寺住宅前			07:10			08:35														
百々鶴荘前-B			07:11			08:36														
西上林-B			07:13			08:38														
西上林-D			-			-														
上林-B			07:14			08:39														
末松			-			-														
県立大学前			-			-														
中林-B			-			-														
中林-A			07:15			08:40														
野々市スポーツランド前-B			07:16			08:41														
藤平-A			07:17			08:42														
下林-B			07:19			08:44														
位川-A			07:20			08:45														
本太平寺-B			07:21			08:46														
太平寺（市内方向）			07:22			08:47														
野々市車庫-B	06:00	06:36	-	07:12	07:52	-	09:06		10:21	11:01	12:21	13:41	14:16	15:26	16:31	17:42	18:54	20:14		
西野々市-C	06:01	06:37	07:25	07:13	07:53	08:50	09:07		10:22	11:02	12:22	13:42	14:17	15:27	16:32	17:43	18:55	20:15		
西野々市（横宮方向）	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		
野々市本町三丁目-B	06:02	06:38	07:26	07:14	07:54	08:51	09:08		10:23	11:03	12:23	13:43	14:18	15:28	16:33	17:44	18:56	20:16		
東野々市-B	06:04	06:40	07:28	07:16	07:56	08:53	09:10		10:25	11:05	12:25	13:45	14:20	15:30	16:35	17:46	18:58	20:18		
押野-B	06:06	06:42	07:30	07:18	07:58	08:55	09:12		10:27	11:07	12:27	13:47	14:22	15:32	16:37	17:48	19:00	20:20		
押野丸木-B	06:06	06:42	07:30	07:18	07:58	08:55	09:12		10:27	11:07	12:27	13:47	14:22	15:32	16:37	17:48	19:00	20:20		
野々市中央-B	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		
横宮-B	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		
伏見橋（県道市内方向）	06:08	06:44	07:32	07:20	08:00	08:57	09:14		10:29	11:09	12:29	13:49	14:24	15:34	16:39	17:50	19:02	20:22		
伏見橋（ニューハウス前）	06:08	06:44	07:32	07:20	08:00	08:57	09:14		10:29	11:09	12:29	13:49	14:24	15:34	16:39	17:50	19:02	20:22		
二万堂-B	06:10	06:46	07:34	07:22	08:02	08:59	09:16		10:31	11:11	12:31	13:51	14:26	15:36	16:41	17:52	19:04	20:24		
有松（二万堂から）	06:11	06:47	07:35	07:23	08:03	09:00	09:17		10:32	11:12	12:32	13:52	14:27	15:37	16:42	17:53	19:05	20:25		
泉二丁目-B	06:12	06:48	07:36	07:24	08:04	09:01	09:18		10:33	11:13	12:33	13:53	14:28	15:38	16:43	17:54	19:06	20:26		
泉一丁目-B	06:13	06:49	07:37	07:25	08:05	09:02	09:19		10:34	11:14	12:34	13:54	14:29	15:39	16:44	17:55	19:07	20:27		
野町-B	06:14	06:50	07:38	07:26	08:06	09:03	09:20		10:35	11:15	12:35	13:55	14:30	15:40	16:45	17:56	19:08	20:28		
野町駅-B	06:19	06:55	-	07:31	08:11	-	09:25	10:02	10:40	11:20	12:40	14:00	14:35	15:45	16:50	18:01	19:13	20:32		
広小路（有松から）	06:20	06:56	07:39	07:32	08:12	09:04	09:26	10:04	10:41	11:21	12:41	14:01	14:36	15:46	16:51	18:02	19:14	20:33		
片町（ラブロ前）	06:22	06:58	07:42	07:35	08:15	09:07	09:29	10:06	10:44	11:24	12:44	14:04	14:39	15:49	16:54	18:04	19:16	20:35		
香林坊（中央公園前）	06:23	06:59	07:43	07:36	08:16	09:08	09:30	10:07	10:45	11:25	12:45	14:05	14:40	15:50	16:55	18:05	19:17	20:36		
香林坊（日銀前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
広坂（しいのき迎賓館前）	06:24	07:00	07:44	07:37	08:17	09:09	09:31	10:08	10:46	11:26	12:46	14:06	14:41	15:51	16:56	18:06	19:18	20:37		
兼六園下（県駐車場前）	06:27	07:03	07:47	07:40	08:20	09:12	09:34	10:10	10:49	11:29	12:49	14:09	14:44	15:54	16:59	18:09	19:21	20:40		
出羽町-A	06:29	07:05	07:49	07:42	08:22	09:14	09:36	10:13	10:51	11:31	12:51	14:11	14:46	15:56	17:01	18:11	19:23	20:42		
石引町-A	06:30	07:06	07:50	07:43	08:23	09:15	09:37	10:14	10:52	11:32	12:52	14:12	14:47	15:57	17:02	18:12	19:24	20:43		
小立野大学病院前（降車場）	06:40	07:16	08:04	07:45	-	09:29	09:39	-	11:04	-	12:54	14:24	-	15:59	17:14	18:22	19:34	20:52		
小立野大学病院前				07:45	-		09:39	-		-	12:54		-	15:59						
小立野-A				07:46	08:24		09:40	10:15		11:33	12:55		14:48	16:00						
天徳院前-A				07:48	08:26		09:42	10:17		11:35	12:57		14:50	16:02						
小立野三丁目-A				07:49	08:27		09:43	10:18		11:36	12:58		14:51	16:03						
崎浦公民館-A				07:50	08:28		09:44	10:19		11:37	12:59		14:52	16:04						
小立野一丁目-A				07:51	08:29		09:45	10:20		11:38	13:00		14:53	16:05						
錦町（湯涌）				07:52	08:30		09:46	10:21		11:39	13:01		14:54	16:06						
土清水口-A				07:54	08:32		09:48	10:23		11:41	13:03		14:56	16:08						
土清水-A				07:55	-		09:49	-		-	13:04		-	16:09						
土清水南-A				07:56	-		09:50	-		-	13:05		-	16:10						
舘山町-A				07:57	-		09:51	-		-	13:06		-	16:11						
辰巳丘高校-B				08:08	-		10:02	-		-	13:17		-	16:22						
田上口-A					08:34			10:25		11:43			14:58							
舘町-A					08:35			10:26		11:44			14:59							
銚子口					08:36			10:27		11:45			15:00							
北大太陽が丘-B					08:39			10:38		11:48			15:12							
中村（北大薬学部方向）					08:42					11:51										
北陸大学松雲会館前（薬学部方向）					08:43					11:52										
北陸大学薬学部（降車）					08:56					12:05										
