始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	県庁前-B	金沢駅【３】	金沢駅【３】	金沢駅【３】				
始発時間	06:35	07:02	07:19	07:25	07:40	07:42	08:05	08:05	08:25	08:52	09:10	09:32	09:32	10:02	10:25	11:10	11:25	12:10	12:40	13:10	13:40	14:25	15:25	15:40	16:25	17:02	17:40	18:08	19:25	20:25	21:10				
終点時間	07:10	07:34	07:53	07:59	08:14	08:02	08:42	08:45	09:05	09:31	09:49	10:07	10:11	10:41	11:04	11:46	12:00	12:45	13:15	13:45	14:15	15:00	16:00	16:15	17:00	17:37	18:14	18:57	19:56	21:04	21:41				
終点停留所	金沢学院大学-A	金沢東高校-A	辰巳丘高校-B	金沢東高校-A	辰巳丘高校-B	小立野大学病院前（降車場）	金沢東高校-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢東高校-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	上辰巳-A	東部車庫-A				
備考						学期休み期間、運休	学期休み期間のみ運行	学期休み期間、運休				学期休み期間のみ運行	学期休み期間、運休																						
県庁前-B																												18:08							
駅西合庁前（西念南方向）																												18:11							
西念西-B																												18:12							
西念南-B																												18:13							
広岡-B																												18:15							
金沢駅西口降車																												18:19							
金沢駅西口【５】																												18:19							
金沢駅東通り-B																												18:21							
金沢駅【３】	06:35	07:02	07:19	07:25	07:40	07:42	08:05	08:05	08:25	08:52	09:10	09:32	09:32	10:02	10:25	11:10	11:25	12:10	12:40	13:10	13:40	14:25	15:25	15:40	16:25	17:02	17:40	18:25	19:25	20:25	21:10				
