始発停留所	門前-A	門前-A	富来-A	門前-A	門前-A
始発時間	08:50	13:20	15:05	17:15	19:10
終点時間	11:19	15:49	16:54	17:50	19:45
終点停留所	金沢駅西口降車	金沢駅西口降車	金沢駅西口降車	富来-A	富来-A
備考					
門前-A	08:50	13:20		17:15	19:10
総持寺前-B	08:51	13:21		17:16	19:11
新道道下	08:55	13:25		17:17	19:12
黒島-B	08:57	13:27		17:18	19:13
南黒島-B	08:58	13:28		17:19	19:14
北川-B	09:00	13:30		17:21	19:16
池田-B	09:01	13:31		17:23	19:18
赤神（新）-D	09:03	13:33		17:25	19:20
腰細-B	09:05	13:35		17:27	19:22
剱地-B	09:07	13:37		17:29	19:24
大福寺-B	09:15	13:45		17:37	19:32
西大福寺	-	-		-	-
栢木-B	-	-		-	-
稲敷-B	-	-		-	-
草江-B	-	-		-	-
中浜-D	-	-		-	-
富来農協前-B	09:22	13:52		17:44	19:39
領家口-B	-	-		-	-
富来-A	09:30	14:00	15:05	17:50	19:45
荒屋-B	09:38	14:08	15:13		
三明-B	09:41	14:11	15:16		
直海-B	09:44	14:14	15:19		
米町-B	09:46	14:16	15:21		
堀松南-B	09:52	14:22	15:27		
末吉-B	09:54	14:24	15:29		
高浜-A	09:56	14:26	15:31		
大島-B	10:00	14:30	15:35		
柴垣-B	10:05	14:35	15:40		
一の宮-B	10:10	14:40	15:45		
工業高校前-B	10:13	14:43	15:48		
羽咋中央-B	10:16	14:46	15:51		
羽咋駅前-A	10:19	14:49	15:54		
羽咋中学校前-A	10:23	14:53	15:58		
千里浜レストハウス	-	-	-		
高松ＳＡ-A	10:33	15:03	16:08		
医大病院-B	10:50	15:20	16:25		
向陽台（清湖大橋方向）	10:54	15:24	16:29		
県庁前（中央病院側）	11:04	15:34	16:39		
駅西合庁前（西念南方向）	11:07	15:37	16:42		
金沢駅西口降車	11:19	15:49	16:54		
