始発停留所	飯田港	飯田港	飯田港		
始発時間	11:15	14:50	16:00		
終点時間	11:50	15:25	16:35		
終点停留所	上山	上山	上山		
備考					
飯田港	11:15	14:50	16:00		
吾妻橋-A	11:16	14:51	16:01		
昭和橋	11:17	14:52	16:02		
すずなり館前-C	11:18	14:53	16:03		
珠洲市総合病院前-A	11:20	14:55	16:05		
飯田高校下	11:22	14:57	16:07		
飯田栄町北-C	11:24	14:59	16:09		
出田川辺-B	11:25	15:00	16:10		
出田	11:26	15:01	16:11		
鈴内口-B	11:27	15:02	16:12		
経念-B	11:28	15:03	16:13		
中田口-B	11:29	15:04	16:14		
古蔵-B	11:30	15:05	16:15		
火宮	11:31	15:06	16:16		
延武-B	11:33	15:08	16:18		
宇都山-B	11:34	15:09	16:19		
大坊	11:35	15:10	16:20		
真吉口	11:36	15:11	16:21		
中	11:37	15:12	16:22		
上正力	11:39	15:14	16:24		
宗末	11:42	15:17	16:27		
上黒丸	11:44	15:19	16:29		
洲巻	11:47	15:22	16:32		
上山	11:50	15:25	16:35		
八太郎峠					
大久保					
下寺山					
上鈴屋					
中鈴屋					
鈴屋					
町野-B					
