始発停留所	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】	七尾駅前【４】				
始発時間	07:05	08:25	10:40	13:05	15:20	18:00				
終点時間	07:57	09:15	11:30	13:57	16:12	18:52				
終点停留所	高浜-E	高浜-E	高浜-E	高浜-E	高浜-E	高浜-E				
備考										
七尾駅前【４】	07:05	08:25	10:40	13:05	15:20	18:00				
小丸山公園下-A	07:07	08:27	10:42	13:07	15:22	18:02				
小島橋-A	07:08	08:28	10:43	13:08	15:23	18:03				
小島町三丁目-A	07:10	08:30	10:45	13:10	15:25	18:05				
津向町-A	07:11	08:31	10:46	13:11	15:26	18:06				
松百新町-A	07:12	08:32	10:47	13:12	15:27	18:07				
国立七尾病院前-A	07:13	08:33	10:48	13:13	15:28	18:08				
松百-A	07:14	08:34	10:49	13:14	15:29	18:09				
祖浜-A	07:15	08:35	10:50	13:15	15:30	18:10				
石崎口-A	07:16	08:36	10:51	13:16	15:31	18:11				
和倉駅前-A	07:17	08:37	10:52	13:17	15:32	18:12				
奥原-A	07:19	08:39	10:54	13:19	15:34	18:14				
田鶴浜住宅前-A	07:21	08:41	10:56	13:21	15:36	18:16				
舟尾-A	07:22	08:42	10:57	13:22	15:37	18:17				
川尻-A	07:23	08:43	10:58	13:23	15:38	18:18				
ＪＡ田鶴浜支店前-A	07:25	08:45	11:00	13:25	15:40	18:20				
三引口-A	07:26	08:46	11:01	13:26	15:41	18:21				
白浜東-A	07:27	08:47	11:02	13:27	15:42	18:22				
白浜-A	07:28	08:48	11:03	13:28	15:43	18:23				
深見口-A	07:29	08:49	11:04	13:29	15:44	18:24				
大津口-A	07:30	08:50	11:05	13:30	15:45	18:25				
大津-A	07:32	08:52	11:07	13:32	15:47	18:27				
大津西口-A	07:33	08:53	11:08	13:33	15:48	18:28				
徳田-A	07:35	08:55	11:10	13:35	15:50	18:30				
矢田-A	07:36	08:56	11:11	13:36	15:51	18:31				
土田学校前-A	07:37	08:57	11:12	13:37	15:52	18:32				
代田-A	07:38	08:58	11:13	13:38	15:53	18:33				
土田支所前-A	07:39	08:59	11:14	13:39	15:54	18:34				
牧山-A	07:41	09:01	11:16	13:41	15:56	18:36				
火打谷-A	07:43	09:03	11:18	13:43	15:58	18:38				
石川県緑化センター前-A	07:44	09:04	11:19	13:44	15:59	18:39				
梨谷-A	07:45	09:06	11:21	13:45	16:00	18:40				
吉田-A	07:46	09:07	11:22	13:46	16:01	18:41				
堀松南-B	07:47	09:09	11:24	13:47	16:02	18:42				
清水-B	07:49	09:11	11:26	13:49	16:04	18:44				
末吉-B	07:51	09:13	11:28	13:51	16:06	18:46				
高浜-E	07:57	09:15	11:30	13:57	16:12	18:52				
