始発停留所	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B	
始発時間	07:06	07:30	07:54	08:18	08:42	09:06	09:35	10:05	10:35	11:05	11:35	12:05	12:35	13:05	13:35	14:05	14:35	15:01	15:30	15:54	16:18	16:42	17:06	17:32	17:54	18:18	18:42	19:06	19:30	19:55	20:18	20:45	21:18	22:18	
終点時間	07:16	07:40	08:04	08:28	08:52	09:16	09:45	10:15	10:45	11:15	11:45	12:15	12:45	13:15	13:45	14:15	14:45	15:11	15:40	16:04	16:28	16:52	17:16	17:42	18:04	18:28	18:52	19:16	19:40	20:05	20:28	20:55	21:28	22:28	
終点停留所	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
白帆台ニュータウン																																			
内灘温泉病院-B																																			
内灘町総合公園																																			
内灘町福祉センター-B																																			
医大病院-B	07:06	07:30	07:54	08:18	08:42	09:06	09:35	10:05	10:35	11:05	11:35	12:05	12:35	13:05	13:35	14:05	14:35	15:01	15:30	15:54	16:18	16:42	17:06	17:32	17:54	18:18	18:42	19:06	19:30	19:55	20:18	20:45	21:18	22:18	
大学前-B	07:07	07:31	07:55	08:19	08:43	09:07	09:36	10:06	10:36	11:06	11:36	12:06	12:36	13:06	13:36	14:06	14:36	15:02	15:31	15:55	16:19	16:43	17:07	17:33	17:55	18:19	18:43	19:07	19:31	19:56	20:19	20:46	21:19	22:19	
大清台-B	07:08	07:32	07:56	08:20	08:44	09:08	09:37	10:07	10:37	11:07	11:37	12:07	12:37	13:07	13:37	14:07	14:37	15:03	15:32	15:56	16:20	16:44	17:08	17:34	17:56	18:20	18:44	19:08	19:32	19:57	20:20	20:47	21:20	22:20	
大根布六丁目-B	07:09	07:33	07:57	08:21	08:45	09:09	09:38	10:08	10:38	11:08	11:38	12:08	12:38	13:08	13:38	14:08	14:38	15:04	15:33	15:57	16:21	16:45	17:09	17:35	17:57	18:21	18:45	19:09	19:33	19:58	20:21	20:48	21:21	22:21	
鶴ケ丘五丁目-B	07:10	07:34	07:58	08:22	08:46	09:10	09:39	10:09	10:39	11:09	11:39	12:09	12:39	13:09	13:39	14:09	14:39	15:05	15:34	15:58	16:22	16:46	17:10	17:36	17:58	18:22	18:46	19:10	19:34	19:59	20:22	20:49	21:22	22:22	
鶴ケ丘四丁目（内灘駅方向）	07:11	07:35	07:59	08:23	08:47	09:11	09:40	10:10	10:40	11:10	11:40	12:10	12:40	13:10	13:40	14:10	14:40	15:06	15:35	15:59	16:23	16:47	17:11	17:37	17:59	18:23	18:47	19:11	19:35	20:00	20:23	20:50	21:23	22:23	
向陽台（マルエー向）	07:13	07:37	08:01	08:25	08:49	09:13	09:42	10:12	10:42	11:12	11:42	12:12	12:42	13:12	13:42	14:12	14:42	15:08	15:37	16:01	16:25	16:49	17:13	17:39	18:01	18:25	18:49	19:13	19:37	20:02	20:25	20:52	21:25	22:25	
内灘駅（ターミナル内）	07:16	07:40	08:04	08:28	08:52	09:16	09:45	10:15	10:45	11:15	11:45	12:15	12:45	13:15	13:45	14:15	14:45	15:11	15:40	16:04	16:28	16:52	17:16	17:42	18:04	18:28	18:52	19:16	19:40	20:05	20:28	20:55	21:28	22:28	
