始発停留所	松任駅前	松任駅前	松任駅前		
始発時間	07:20	08:20	16:50		
終点時間	07:49	08:49	17:19		
終点停留所	鶴来駅-C	鶴来駅-C	鶴来駅-C		
備考					
松任駅前	07:20	08:20	16:50		
松任１	07:21	08:21	16:51		
西新町-A	07:22	08:22	16:52		
中町	07:23	08:23	16:53		
大町	07:24	08:24	16:54		
若宮町	07:25	08:25	16:55		
新徳丸-A	07:26	08:26	16:56		
翠星高校前-B	07:27	08:27	16:57		
三浦-A	07:29	08:29	16:59		
木津-B	07:31	08:31	17:01		
安養寺	07:33	08:33	17:03		
行町	07:35	08:35	17:05		
館畑農協前-A	07:36	08:36	17:06		
日向-A	07:37	08:37	17:07		
中島口	07:38	08:38	17:08		
名鉄森島-A	07:39	08:39	17:09		
下森島-A	07:40	08:40	17:10		
上森島-A	07:41	08:41	17:11		
西の村	07:42	08:42	17:12		
中村	07:43	08:43	17:13		
春の木	07:44	08:44	17:14		
白山郷公園前-A	07:45	08:45	17:15		
白山警察署鶴来庁舎前-A	07:47	-	-		
本鶴来-A	-	08:46	17:16		
大国町-A	-	08:47	17:17		
鶴来駅-C	07:49	08:49	17:19		
