始発停留所	新崎崎出	穴水総合病院-A	穴水駅前-B	穴水駅前-B	穴水駅前-B
始発時間	07:25	12:00	15:05	16:05	17:40
終点時間	07:42	12:33	15:33	16:33	18:08
終点停留所	曽福	曽福	曽福	曽福	曽福
備考					
穴水総合病院-A		12:00			
東町-B		12:02			
穴水駅前-B		12:04	15:05	16:05	17:40
穴水小学校前-A		12:06	15:07	16:07	17:42
乙ヶ崎		12:08	15:09	16:09	17:44
新崎口		12:10	15:11	16:11	17:46
緑ヶ丘		12:12	15:13	16:13	17:48
新崎		12:15	15:15	16:15	17:50
新崎崎出	07:25	12:15	15:16	16:16	17:51
新崎	07:26	12:15	15:17	16:17	17:52
緑ヶ丘	07:28	12:18	15:19	16:19	17:54
新崎口	07:30	12:20	15:21	16:21	17:56
志ヶ浦	07:32	12:22	15:23	16:23	17:58
第二望洋台	07:34	12:24	15:25	16:25	18:00
第三望洋台	07:36	12:26	15:27	16:27	18:02
根木	07:37	12:28	15:28	16:28	18:03
鹿島	07:40	12:31	15:31	16:31	18:06
能登鹿島	07:41	12:32	15:32	16:32	18:07
曽福	07:42	12:33	15:33	16:33	18:08
