始発停留所	新金沢郵便局前	新金沢郵便局前	上荒屋西-B	上荒屋西-B	新金沢郵便局前	新金沢郵便局前	上荒屋西-B	新金沢郵便局前	上荒屋西-B	新金沢郵便局前	上荒屋西-B	新金沢郵便局前	新金沢郵便局前	新金沢郵便局前	新金沢郵便局前	新金沢郵便局前	新金沢郵便局前	新金沢郵便局前		
始発時間	06:40	07:05	07:10	07:33	07:40	08:20	09:50	10:00	11:42	12:00	14:50	14:55	15:50	17:00	17:40	18:30	19:05	20:25		
終点時間	07:05	07:35	07:57	08:33	08:25	08:58	10:35	10:38	12:27	12:38	15:30	15:33	16:28	17:38	18:18	19:08	19:35	20:55		
終点停留所	香林坊（日銀前）	武蔵ヶ辻（旧ダイエー裏）	工業試験場	工業試験場	武蔵ヶ辻（旧ダイエー裏）	武蔵ヶ辻（旧ダイエー裏）	工業試験場	武蔵ヶ辻（旧ダイエー裏）	工業試験場	武蔵ヶ辻（旧ダイエー裏）	工業試験場	武蔵ヶ辻（旧ダイエー裏）	武蔵ヶ辻（旧ダイエー裏）	武蔵ヶ辻（旧ダイエー裏）	武蔵ヶ辻（旧ダイエー裏）	武蔵ヶ辻（旧ダイエー裏）	武蔵ヶ辻（旧ダイエー裏）	武蔵ヶ辻（旧ダイエー裏）		
備考				ノンステップバス									ノンステップバス		ノンステップバス		ノンステップバス			
上荒屋西-B			07:10	07:33			09:50		11:42		14:50									
上荒屋大橋-B			07:11	07:34			09:51		11:43		14:51									
上荒屋-B			07:12	07:35			09:52		11:44		14:52									
矢木-B			07:13	07:36			09:53		11:45		14:53									
森戸-B			07:14	07:39			09:54		11:46		14:55									
新保本町-B			07:15	07:40			09:55		11:47		14:56									
八日市出町-B			07:16	07:41			09:56		11:48		14:57									
西金三丁目（上荒屋から）			07:18	07:43			-		-		14:58									
西金新町-B			07:20	07:44			-		-		15:00									
保古町-B			07:21	07:45			-		-		15:01									
糸田町-B			07:22	07:47			-		-		15:02									
新神田（大豆田方向）			07:25	07:54			-		-		15:04									
入江一丁目-B			07:26	07:55			-		-		15:05									
新金沢郵便局前	06:40	07:05	-	-	07:40	08:20	-	10:00	-	12:00	-	14:55	15:50	17:00	17:40	18:30	19:05	20:25		
新保本５丁目	06:41	07:06	-	-	07:42	08:21	-	10:01	-	12:01	-	14:56	15:51	17:01	17:41	18:31	19:06	20:26		
西南部小学校前-B	06:42	07:07	-	-	07:43	08:22	-	10:02	-	12:02	-	14:57	15:52	17:02	17:42	18:32	19:07	20:27		
西金四丁目-B	06:44	07:09	-	-	07:45	08:24	09:58	10:04	11:50	12:04	-	14:59	15:54	17:04	17:44	18:34	19:09	20:29		
黒田-B	06:45	07:10	-	-	07:47	08:25	09:59	10:05	11:51	12:05	-	15:00	15:55	17:05	17:45	18:35	19:10	20:30		
東力-B	06:46	07:11	-	-	07:49	08:26	10:00	10:06	11:52	12:06	-	15:01	15:56	17:06	17:46	18:36	19:11	20:31		
米丸学校前（東力から）	06:47	07:12	-	-	07:52	08:27	10:01	10:07	11:53	12:07	-	15:02	15:57	17:07	17:47	18:37	19:12	20:32		
入江西-B	06:48	07:13	-	-	07:54	08:28	10:02	10:08	11:54	12:08	-	15:03	15:58	17:08	17:48	18:38	19:13	20:33		
玉鉾二丁目-B	06:49	07:14	-	-	07:56	08:29	10:03	10:09	11:55	12:09	-	15:04	15:59	17:09	17:49	18:39	19:14	20:34		
若宮町-B	06:51	07:16	-	-	07:59	08:31	10:05	10:11	11:57	12:11	-	15:06	16:01	17:11	17:51	18:41	19:16	20:36		
大豆田（金沢駅西口方向）	-	-	07:27	07:58	-	-	10:06	-	11:58	-	15:06	-	-	-	-	-	-	-		
大豆田（信開前）	06:52	07:17	-	-	08:02	08:32	-	10:12	-	12:12	-	15:07	16:02	17:12	17:52	18:42	19:17	20:37		
長土塀西-B	06:53	07:18	-	-	08:03	08:33	-	10:13	-	12:13	-	15:08	16:03	17:13	17:53	18:43	19:18	20:38		
富本町（片町方向）	06:55	07:20	-	-	08:05	08:35	-	10:15	-	12:15	-	15:10	16:05	17:15	17:55	18:45	19:20	20:40		
長町-B	06:56	07:21	-	-	08:06	08:36	-	10:16	-	12:16	-	15:11	16:06	17:16	17:56	18:46	19:21	20:41		
片町中央通り-B	06:57	07:22	-	-	08:07	08:38	-	10:18	-	12:18	-	15:13	16:08	17:18	17:58	18:48	19:22	20:42		
片町（ラブロ前）	06:58	07:23	-	-	08:10	08:40	-	10:20	-	12:20	-	15:15	16:10	17:20	18:00	18:50	19:23	20:43		
香林坊（日銀前）	07:05	07:25	-	-	08:12	08:43	-	10:23	-	12:23	-	15:18	16:13	17:23	18:03	18:53	19:25	20:45		
南町-B		07:27	-	-	08:14	08:46	-	10:26	-	12:26	-	15:21	16:16	17:26	18:06	18:56	19:27	20:47		
武蔵ヶ辻（旧ダイエー裏）		07:35	-	-	08:25	08:58	-	10:38	-	12:38	-	15:33	16:28	17:38	18:18	19:08	19:35	20:55		
元菊町-B			07:28	07:59			10:07		11:59		15:07									
広岡口（朱鷺の苑前）			07:29	08:00			10:08		12:00		15:08									
金沢駅西口降車			07:33	08:05			10:12		12:04		15:12									
金沢駅西口【６】			07:33	08:05			10:12		12:04		15:12									
広岡-A			07:35	08:07			10:14		12:06		15:14									
西念南-A			07:36	08:08			10:15		12:07		15:15									
西念西-A			07:37	08:09			10:16		12:08		15:16									
駅西合庁前（西念南から）			07:38	08:10			10:17		12:09		15:17									
中央病院前			07:43	08:15			10:20		12:12		15:20									
映寿会みらい病院			07:44	08:16			10:21		12:13		15:21									
県庁前-A			07:45	08:17			10:22		12:14		15:22									
藤江北-A			07:47	08:19			10:24		12:16		15:24									
市立工業高校東口			07:48	08:20			10:25		12:17		15:25									
金沢西高校-A			07:49	08:21			10:26		12:18		15:26									
工業試験場			07:57	08:33			10:35		12:27		15:30									
