始発停留所	大屋	大屋			
始発時間	12:35	14:35			
終点時間	13:10	15:10			
終点停留所	飯田港	飯田港			
備考					
大屋	12:35	14:35			
下大屋	12:36	14:36			
井田	12:38	14:38			
琴江院前	12:39	14:39			
粟津	12:40	14:40			
森腰	12:41	14:41			
本北口-A	12:44	14:44			
本	12:45	14:45			
杉山	12:47	14:47			
杉山口	12:49	14:49			
平床	12:51	14:51			
川尻口-B	12:54	14:54			
正院-B	12:55	14:55			
正院西口-B	12:56	14:56			
野々江	12:58	14:58			
島田	13:00	15:00			
珠洲市総合病院前-A	13:03	15:03			
飯田高校下	13:05	15:05			
飯田栄町北-C	13:07	15:07			
飯田栄町	13:08	15:08			
吾妻橋-B	13:09	15:09			
飯田港	13:10	15:10			
北方-B					
善慶寺前-A					
上戸農協前-A					
竹中橋-A					
谷崎-B					
盤若橋-B					
春日野-A					
鵜飼本町-B					
鵜飼駅前					
