始発停留所	飯田港	飯田港			
始発時間	12:00	14:00			
終点時間	12:34	14:34			
終点停留所	大屋	大屋			
備考					
鵜飼駅前					
鵜飼本町-B					
春日野-A					
盤若橋-A					
谷崎-B					
竹中橋-A					
上戸農協前-A					
善慶寺前-A					
北方-B					
飯田港	12:00	14:00			
吾妻橋-A	12:01	14:01			
飯田栄町	12:02	14:02			
飯田栄町北-B	12:03	14:03			
飯田高校下	12:05	14:05			
珠洲市総合病院前-A	12:07	14:07			
島田	12:09	14:09			
野々江	12:11	14:11			
正院西口-A	12:13	14:13			
正院-A	12:14	14:14			
川尻口-B	12:15	14:15			
平床	12:18	14:18			
杉山口	12:20	14:20			
杉山	12:22	14:22			
本	12:24	14:24			
本北口-B	12:25	14:25			
森腰	12:28	14:28			
粟津	12:29	14:29			
琴江院前	12:30	14:30			
井田	12:31	14:31			
下大屋	12:33	14:33			
大屋	12:34	14:34			
