始発停留所	高尾	兼六園下（石川門）	高尾	高尾	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	高尾	金沢工業大学（正門前）	兼六園下（石川門）			
始発時間	07:05	07:06	07:20	07:50	08:20	08:43	09:14	09:50	10:13	11:07	12:07	12:31	13:12	14:15	15:13	16:10	16:55	17:03	17:37	18:00	18:30	19:04	19:24	20:15	21:02	21:30	22:18			
終点時間	08:07	07:54	07:52	08:58	08:52	09:47	10:14	10:22	11:11	12:07	13:11	13:31	14:12	15:13	16:13	17:08	17:47	18:07	18:39	19:04	19:34	20:06	20:28	21:15	21:55	22:17	22:56			
終点停留所	大野港（始発）	大野	金沢駅【降車場】	からくり記念館	金沢駅【降車場】	大野	大野	金沢駅【降車場】	大野港（始発）	大野	からくり記念館	大野	大野	大野港（始発）	大野	大野港（始発）	金石-A	大野	大野港（始発）	大野	大野	大野港（始発）	大野	大野	大野港（始発）	金石-A	大野			
備考						ノンステップバス	ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス			ノンステップバス		ノンステップバス				
高尾	07:05		07:20	07:50	08:20	08:43		09:50		11:07	12:07		13:12		15:13	16:10		17:03			18:30		19:24	20:15	21:02					
高尾台二丁目	07:05		07:20	07:50	08:20	08:43		09:50		11:07	12:07		13:12		15:13	16:10		17:03			18:30		19:24	20:15	21:02					
上三馬-B	07:07		07:22	07:52	08:22	08:45		09:52		11:09	12:09		13:14		15:15	16:12		17:05			18:32		19:26	20:17	21:04					
三馬-A	07:08		07:23	07:53	08:23	08:46		09:53		11:10	12:10		13:15		15:16	16:13		17:06			18:33		19:27	20:18	21:05					
金沢工業大学（正門前）	-		-	-	-	-	09:14	-	10:13	-	-	12:31	-	14:15	-	-	16:55	-	17:37	18:00	-	19:04	-	-	-	21:30				
西三馬（市内方向）	-		-	-	-	-	09:15	-	10:14	-	-	12:32	-	14:16	-	-	16:56	-	17:38	18:01	-	19:05	-	-	-	21:31				
西三馬（高尾から）	07:09		07:24	07:54	08:24	08:47	-	09:54	-	11:11	12:11	-	13:16	-	15:17	16:14	-	17:07	-	-	18:34	-	19:28	20:19	21:06	-				
久安二丁目-B	07:10		07:25	07:55	08:25	08:48	09:16	09:55	10:15	11:12	12:12	12:33	13:17	14:17	15:18	16:15	16:57	17:08	17:39	18:02	18:35	19:06	19:29	20:20	21:07	21:32				
久安三丁目-B	07:11		07:26	07:56	08:26	08:49	09:17	09:56	10:16	11:13	12:13	12:34	13:18	14:18	15:19	16:16	16:58	17:09	17:40	18:03	18:36	19:07	19:30	20:21	21:08	21:33				
久安五丁目	07:12		07:27	07:57	08:27	08:50	09:18	09:57	10:17	11:14	12:14	12:35	13:19	14:19	15:20	16:17	16:59	17:10	17:41	18:04	18:37	19:08	19:31	20:22	21:09	21:34				
