始発停留所	大野港（始発）	大野			
始発時間	18:49	19:27			
終点時間	19:47	20:22			
終点停留所	金沢工業大学-A	高尾			
備考		ノンステップバス			
からくり記念館					
大野港（始発）	18:49				
大野港（からくりから）	-				
金沢港いきいき魚市前-B	-				
桂町東（大野港から）	18:50				
桂町東（からくりから）	-				
桂町-B	18:51				
金石北-B	18:53				
金石東-B	18:54				
大野	-	19:27			
大野中央-B	-	19:28			
相生住宅-B	-	19:29			
相生町-B	-	19:30			
金石西-B	-	19:32			
金石-A	18:55	19:35			
西警察署前-B	18:56	19:36			
寺中-B	18:57	19:37			
観音堂-B	18:59	19:39			
畝田-B	19:00	19:40			
市立工業高校前-B	19:01	19:41			
藤江-B	19:02	19:42			
北町西-B	19:04	19:44			
北町-B	19:05	19:45			
中央市場口-B	19:06	19:46			
長田町-B	19:08	19:48			
長田一丁目-B	19:09	19:49			
中橋-B	19:11	19:51			
六枚町（こんや湯前）	19:13	19:52			
六枚町（ガスト前）	-	-			
金沢駅【６】	-	-			
金沢駅【７】	-	-			
本町	-	-			
武蔵ヶ辻（近江町市場前）	19:15	19:54			
武蔵ヶ辻（三井住友銀行前）	-	-			
南町-A	19:17	19:56			
香林坊（アトリオ前）	19:19	19:58			
香林坊（中央公園前）	-	-			
広坂（しいのき迎賓館前）	-	-			
兼六園下（北鉄車庫前）	-	-			
兼六園下（県駐車場前）	-	-			
片町（パシオン前）	19:21	19:59			
広小路（有松方向）	19:24	20:00			
広小路（平和町方向）	-	-			
野町-A	19:26	20:01			
泉一丁目-A	19:27	20:02			
泉二丁目-A	19:29	20:04			
有松（郵便局前）	19:31	20:06			
有松（泉が丘方向）	-	-			
二万堂-A	19:32	20:07			
久安五丁目	19:33	20:08			
久安三丁目-A	19:34	20:09			
久安二丁目-A	19:36	20:11			
西三馬（高尾方向）	-	20:12			
西三馬（工大方向）	19:37	-			
金沢工業大学-A	19:47	-			
三馬-B		20:13			
上三馬-A		20:14			
高尾		20:22			
出羽町-A					
石引町-A					
小立野大学病院前（降車場）					
寺町三丁目-A					
寺町二丁目-A					
寺町一丁目（平和町方向）					
十一屋-A					
泉が丘（円光寺方向）					
市総合体育館前-C					
二水高校前-A					
平和町（公民館前）					
平和町（アルコ前）					
金大附校自衛隊前-B					
