始発停留所	上曽又	上曽又	上曽又		
始発時間	07:10	12:20	14:00		
終点時間	07:42	12:52	14:32		
終点停留所	能登高校南	能登高校南	能登高校南		
備考					
上曽又	07:10	12:20	14:00		
曽又	07:11	12:21	14:01		
後谷	07:12	12:22	14:02		
田谷出-B	07:13	12:23	14:03		
鶴町	07:15	12:25	14:05		
吉尾口	07:17	12:27	14:07		
下藤の瀬	07:19	12:29	14:09		
藤の瀬	07:20	12:30	14:10		
上藤の瀬	07:22	12:32	14:12		
宇加塚	07:24	12:34	14:14		
宇加塚口	07:25	12:35	14:15		
宇加塚	07:26	12:36	14:16		
上藤の瀬	07:28	12:38	14:18		
藤の瀬	07:30	12:40	14:20		
長坂	07:33	12:43	14:23		
平体口	07:35	12:45	14:25		
梅の木-B	07:36	12:46	14:26		
宇出津駅前-A	07:37	12:47	14:27		
宇出津病院前-B	07:38	12:48	14:28		
能登田町-B	07:39	12:49	14:29		
辺田の浜-B	07:40	12:50	14:30		
能登高校南	07:42	12:52	14:32		
