始発停留所	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	いなほ工業団地	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	いなほ工業団地	やすらぎホーム前	いなほ工業団地	上荒屋西-B	やすらぎホーム前	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	上荒屋西-B	
始発時間	06:35	06:50	07:05	07:05	07:13	07:15	07:25	07:35	07:45	07:55	08:00	08:20	08:40	09:00	09:08	09:20	09:40	10:10	10:40	11:08	11:10	11:40	12:05	12:30	12:55	13:15	13:30	14:00	14:30	14:57	15:25	15:35	15:50	16:12	16:35	17:02	17:30	17:35	17:53	18:15	18:15	18:40	19:05	19:30	19:52	20:15	20:50	21:15	21:35	
終点時間	07:03	07:31	07:48	07:53	07:58	07:58	08:02	08:27	08:26	08:32	08:37	09:18	09:17	09:50	09:43	09:55	10:36	10:45	11:30	11:43	12:05	12:15	12:40	13:05	13:53	13:50	14:05	14:56	15:20	15:32	16:21	16:10	16:25	16:47	17:10	17:57	18:07	18:10	18:51	19:05	18:50	19:15	19:53	19:58	20:40	20:43	21:18	21:58	22:03	
終点停留所	兼六園下（北鉄車庫前）	小立野大学病院前（降車場）	星稜高校（駐車場内）	御所二丁目	金大附校自衛隊前-B	星稜高校（駐車場内）	兼六園下（北鉄車庫前）	星稜高校（駐車場内）	小立野大学病院前（降車場）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	柳橋-A	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	柳橋-A	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	
備考					学期休み期間、運休						ノンステップバス				ノンステップバス		ノンステップバス								ノンステップバス		ノンステップバス																ノンステップバス							
やすらぎホーム前			07:05							07:55					09:08					11:08						13:15						15:35						17:35			18:15									
御経塚中-B			07:06							07:56					09:09					11:09						13:16						15:36						17:36			18:16									
八日市三丁目-B			07:08							07:58					09:11					11:11						13:18						15:38						17:38			18:18									
八日市四丁目-B			07:10							08:00					09:13					11:13						13:20						15:40						17:40			18:20									
八日市五丁目-B			07:11							08:01					09:14					11:14						13:21						15:41						17:41			18:21									
押野二丁目-B			07:13							08:03					09:16					11:16						13:23						15:43						17:43			18:23									
