始発停留所	兼六園下（石川門向い）	兼六園下（石川門向い）	兼六園下（石川門向い）		
始発時間	21:00	21:30	22:00		
終点時間	21:29	21:59	22:29		
終点停留所	上荒屋西-A	上荒屋西-A	上荒屋西-A		
備考					
柳橋（始発）					
神谷内-B					
小坂中-B					
小坂-B					
御所二丁目					
御所一丁目-B					
御所ニュータウン口-B					
高田-B					
星稜高校（駐車場内）					
御所町-B					
鳴和台-B					
鳴和台-D					
鳴和台市民体育会館前-B					
桜丘高校前-B					
鳴和-B					
春日町（山の上方向）					
山の上（彦三方向）					
森山二丁目（彦三方向）					
小橋町-B					
瓢箪町-B					
彦三-B					
武蔵ヶ辻（近江町市場前）					
南町-A					
兼六園下（石川門向い）	21:00	21:30	22:00		
丸の内-A	21:01	21:31	22:01		
合同庁舎前-A	21:02	21:32	22:02		
香林坊（アトリオ前）	21:03	21:33	22:03		
片町（パシオン前）	21:05	21:35	22:05		
白菊町-A	21:07	21:37	22:07		
増泉一丁目-A	21:08	21:38	22:08		
増泉（新神田方向）	21:10	21:40	22:10		
新神田（上荒屋方向）	21:12	21:42	22:12		
糸田町-A	21:13	21:43	22:13		
保古町-A	21:14	21:44	22:14		
西金新町-A	21:15	21:45	22:15		
広小路（有松方向）	-	-	-		
野町-A	-	-	-		
泉一丁目-A	-	-	-		
泉二丁目-A	-	-	-		
有松（郵便局前）	-	-	-		
二万堂-A	-	-	-		
伏見橋（八日市方向）	-	-	-		
押野中央-A	-	-	-		
押野二丁目-A	-	-	-		
八日市五丁目-A	-	-	-		
西金三丁目（上荒屋方向）	21:16	21:46	22:16		
八日市出町-A	21:18	21:48	22:18		
新保本町-B	21:19	21:49	22:19		
森戸-B	21:20	21:50	22:20		
矢木-A	21:22	21:52	22:22		
上荒屋-A	21:23	21:53	22:23		
上荒屋大橋-A	21:24	21:54	22:24		
上荒屋西-A	21:29	21:59	22:29		
いなほ一丁目-A					
いなほ工業団地					
八日市四丁目-A					
八日市三丁目-A					
御経塚中-A					
やすらぎホーム前					
