始発停留所	野町駅-B	野町駅-B			
始発時間	21:23	22:01			
終点時間	21:56	22:34			
終点停留所	県庁前-D	県庁前-D			
備考	ノンステップバス	ノンステップバス			
野町駅-B	21:23	22:01			
広小路（有松から）	21:25	22:03			
片町	21:28	22:06			
香林坊（日銀前）	21:29	22:07			
南町-B	21:30	22:08			
武蔵ヶ辻（めいてつエムザ前）	21:32	22:10			
武蔵ヶ辻（ホリデイ・イン金沢前）	21:32	22:10			
六枚町（金石方向）	21:35	22:13			
広岡口（朱鷺の苑前）	21:37	22:15			
金沢駅西口降車	21:41	22:19			
金沢駅西口【６】	21:41	22:19			
広岡-A	21:43	22:21			
西念南-A	21:44	22:22			
西念西-A	21:45	22:23			
駅西合庁前（西念南から）	21:46	22:24			
県庁前-D	21:56	22:34			
県庁前-A					
北安江-A					
諸江町小学校前-A					
上諸江-A					
南新保口-A					
中央病院前					
