始発停留所	兼六園下（石川門向い）	兼六園下（石川門向い）			
始発時間	13:15	14:35			
終点時間	15:11	16:31			
終点停留所	和倉温泉	和倉温泉			
備考					
兼六園下（石川門向い）	13:15	14:35			
広坂（金沢２１世紀美術館前）	13:16	14:36			
香林坊（東横イン前）	13:18	14:38			
武蔵ヶ辻（めいてつエムザ前）	13:21	14:41			
金沢駅【１】	13:30	14:50			
駅西合庁前（西念南から）	13:37	14:57			
県庁前-B	13:40	15:00			
向陽台（能登特急線）	13:50	15:10			
医大病院-B	13:54	15:14			
上棚インター-A	14:30	15:50			
花見月-A	14:34	15:54			
瀬戸-A	14:36	15:56			
西三階-A	14:39	15:59			
のと蘭ノ国-A	14:44	16:04			
西藤橋-A	14:48	16:08			
七尾駅前【１】	14:51	16:11			
能登食祭市場-A	14:53	16:13			
桜町-A	14:54	16:14			
国立七尾病院前-A	14:57	16:17			
和倉駅前-A	15:01	16:21			
和倉インフオメーション	15:03	16:23			
和倉温泉	15:11	16:31			
