始発停留所	門前-A	門前-A	門前-A		
始発時間	14:40	17:40	18:40		
終点時間	15:15	18:15	19:15		
終点停留所	久川-A	久川-A	久川-A		
備考					
門前-A	14:40	17:40	18:40		
立町-B	14:41	17:41	18:41		
総持寺前-B	14:42	17:42	18:42		
林業センター前-B	14:43	17:43	18:43		
勝田口-A	14:44	17:44	18:44		
東道下-B	14:45	17:45	18:45		
道下-B	14:46	17:46	18:46		
西道下-B	14:47	17:47	18:47		
道下栄町-B	14:48	17:48	18:48		
黒島-B	14:49	17:49	18:49		
南黒島-B	14:50	17:50	18:50		
大口-B	14:51	17:51	18:51		
北川-B	14:53	17:53	18:53		
池田-B	14:55	17:55	18:55		
藤の浜-B	14:56	17:56	18:56		
赤神-B	14:58	17:58	18:58		
腰細-B	15:00	18:00	19:00		
大泊-B	15:01	18:01	19:01		
剱地-B	15:02	18:02	19:02		
剱地東出-A	15:03	18:03	19:03		
下馬場-A	15:04	18:04	19:04		
上馬場-A	15:05	18:05	19:05		
渡瀬口-A	15:06	18:06	19:06		
清沢口-A	15:08	18:08	19:08		
滝町-A	15:09	18:09	19:09		
馬渡農協前-A	15:11	18:11	19:11		
馬渡-A	15:12	18:12	19:12		
うつろ口-A	15:14	18:14	19:14		
久川-A	15:15	18:15	19:15		
