始発停留所	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）	金沢工業大学（正門前）
始発時間	08:10	10:20	13:20	15:20	17:20
終点時間	08:50	11:00	14:00	16:00	18:00
終点停留所	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス
金沢工業大学（正門前）	08:10	10:20	13:20	15:20	17:20
三馬日赤病院前-B	08:11	10:21	13:21	15:21	17:21
錦丘高校前（四十万から）	08:12	10:22	13:22	15:22	17:22
伏見台（市内方向）	08:13	10:23	13:23	15:23	17:23
寺地-B	08:14	10:24	13:24	15:24	17:24
上有松-B	08:15	10:25	13:25	15:25	17:25
有松（寺地から）	08:16	10:26	13:26	15:26	17:26
泉二丁目-B	08:18	10:28	13:28	15:28	17:28
泉一丁目-B	08:20	10:30	13:30	15:30	17:30
野町-B	08:21	10:31	13:31	15:31	17:31
広小路（有松から）	08:22	10:32	13:32	15:32	17:32
片町	08:25	10:35	13:35	15:35	17:35
香林坊（日銀前）	08:27	10:37	13:37	15:37	17:37
南町-B	08:28	10:38	13:38	15:38	17:38
武蔵ヶ辻（めいてつエムザ前）	08:29	10:39	13:39	15:39	17:39
彦三-A	08:31	10:41	13:41	15:41	17:41
瓢箪町-A	08:32	10:42	13:42	15:42	17:42
小橋町-A	08:33	10:43	13:43	15:43	17:43
森山二丁目（神宮寺方向）	08:34	10:44	13:44	15:44	17:44
元町福祉健康センター前-A	08:35	10:45	13:45	15:45	17:45
神宮寺町（東金沢駅方向）	08:37	10:47	13:47	15:47	17:47
神宮寺二丁目-A	08:38	10:48	13:48	15:48	17:48
東金沢駅	08:50	11:00	14:00	16:00	18:00
