始発停留所	東金沢駅				
始発時間	18:10				
終点時間	18:50				
終点停留所	金沢工業大学-A				
備考	ノンステップバス				
東金沢駅	18:10				
神宮寺二丁目-B	18:12				
神宮寺町（元町方向）	18:13				
元町福祉健康センター前-B	18:14				
森山二丁目（彦三方向）	18:16				
小橋町-B	18:17				
瓢箪町-B	18:18				
彦三-B	18:19				
武蔵ヶ辻（近江町市場前）	18:21				
南町-A	18:22				
香林坊（アトリオ前）	18:24				
片町（パシオン前）	18:27				
広小路（有松方向）	18:29				
野町-A	18:30				
泉一丁目-A	18:31				
泉二丁目-A	18:32				
有松（寺地方向）	18:34				
上有松-A	18:35				
寺地-A	18:36				
伏見台（郊外方向）	18:37				
錦丘高校前（四十万方向）	18:38				
三馬日赤病院前-A	18:39				
金沢工業大学-A	18:50				
