始発停留所	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅	東金沢駅				
始発時間	07:10	09:10	11:10	14:10	16:10	18:10				
終点時間	07:50	09:50	11:50	14:50	16:50	18:50				
終点停留所	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A	金沢工業大学-A				
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
東金沢駅	07:10	09:10	11:10	14:10	16:10	18:10				
神宮寺二丁目-B	07:12	09:12	11:12	14:12	16:12	18:12				
神宮寺町（元町方向）	07:13	09:13	11:13	14:13	16:13	18:13				
元町福祉健康センター前-B	07:14	09:14	11:14	14:14	16:14	18:14				
森山二丁目（彦三方向）	07:16	09:16	11:16	14:16	16:16	18:16				
小橋町-B	07:17	09:17	11:17	14:17	16:17	18:17				
瓢箪町-B	07:18	09:18	11:18	14:18	16:18	18:18				
彦三-B	07:19	09:19	11:19	14:19	16:19	18:19				
武蔵ヶ辻（近江町市場前）	07:21	09:21	11:21	14:21	16:21	18:21				
南町-A	07:22	09:22	11:22	14:22	16:22	18:22				
香林坊（アトリオ前）	07:24	09:24	11:24	14:24	16:24	18:24				
片町（パシオン前）	07:27	09:27	11:27	14:27	16:27	18:27				
広小路（有松方向）	07:29	09:29	11:29	14:29	16:29	18:29				
野町-A	07:30	09:30	11:30	14:30	16:30	18:30				
泉一丁目-A	07:31	09:31	11:31	14:31	16:31	18:31				
泉二丁目-A	07:32	09:32	11:32	14:32	16:32	18:32				
有松（寺地方向）	07:34	09:34	11:34	14:34	16:34	18:34				
上有松-A	07:35	09:35	11:35	14:35	16:35	18:35				
寺地-A	07:36	09:36	11:36	14:36	16:36	18:36				
伏見台（郊外方向）	07:37	09:37	11:37	14:37	16:37	18:37				
錦丘高校前（四十万方向）	07:38	09:38	11:38	14:38	16:38	18:38				
三馬日赤病院前-A	07:39	09:39	11:39	14:39	16:39	18:39				
金沢工業大学-A	07:50	09:50	11:50	14:50	16:50	18:50				
