始発停留所	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）	野々市駅（ＪＲ野々市駅南口ロータリー）				
始発時間	06:50	07:30	08:20	09:10	09:50	10:30	11:35	12:45	13:55	14:35	15:10	16:05	16:55	17:55	18:55	20:15				
終点時間	07:28	08:15	09:00	09:50	10:30	11:10	12:15	13:25	14:35	15:15	15:50	16:45	17:35	18:35	19:35	20:53				
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】				
備考		ノンステップバス		ノンステップバス																
野々市駅（ＪＲ野々市駅南口ロータリー）	06:50	07:30	08:20	09:10	09:50	10:30	11:35	12:45	13:55	14:35	15:10	16:05	16:55	17:55	18:55	20:15				
野代２丁目	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:56	-				
押越-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:57	-				
八日市１丁目	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:58	-				
押野北-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:00	-				
押野中央-B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:02	-				
御経塚	06:51	07:31	08:21	09:11	09:51	10:31	11:36	12:46	13:56	14:36	15:11	16:06	16:56	17:56	-	20:16				
野代-B	06:52	07:32	08:22	09:12	09:52	10:32	11:37	12:47	13:57	14:37	15:12	16:07	16:57	17:57	-	20:17				
八日市住宅-B	06:53	07:33	08:23	09:13	09:53	10:33	11:38	12:48	13:58	14:38	15:13	16:08	16:58	17:58	-	20:18				
八日市	06:54	07:34	08:24	09:14	09:54	10:34	11:39	12:49	13:59	14:39	15:14	16:09	16:59	17:59	-	20:19				
本押野-A	06:55	07:35	08:25	09:15	09:55	10:35	11:40	12:50	14:00	14:40	15:15	16:10	17:00	18:00	-	20:20				
押野六丁目-B	06:57	07:37	08:27	09:17	09:57	10:37	11:42	12:52	14:02	14:42	15:17	16:12	17:02	18:02	-	20:22				
伏見橋（県道市内方向）	06:59	07:39	08:29	09:19	09:59	10:39	11:44	12:54	14:04	14:44	15:19	16:14	17:04	18:04	19:04	20:24				
伏見橋（ニューハウス前）	06:59	07:39	08:29	09:19	09:59	10:39	11:44	12:54	14:04	14:44	15:19	16:14	17:04	18:04	19:04	20:24				
二万堂-B	07:01	07:41	08:31	09:21	10:01	10:41	11:46	12:56	14:06	14:46	15:21	16:16	17:06	18:06	19:06	20:26				
有松（二万堂から）	07:02	07:42	08:32	09:22	10:02	10:42	11:47	12:57	14:07	14:47	15:22	16:17	17:07	18:07	19:07	20:27				
泉二丁目-B	07:03	07:43	08:33	09:23	10:03	10:43	11:48	12:58	14:08	14:48	15:23	16:18	17:08	18:08	19:08	20:28				
泉一丁目-B	07:04	07:44	08:34	09:24	10:04	10:44	11:49	12:59	14:09	14:49	15:24	16:19	17:09	18:09	19:09	20:29				
野町-B	07:05	07:45	08:35	09:25	10:05	10:45	11:50	13:00	14:10	14:50	15:25	16:20	17:10	18:10	19:10	20:30				
広小路（有松から）	07:07	07:47	08:37	09:27	10:07	10:47	11:52	13:02	14:12	14:52	15:27	16:22	17:12	18:12	19:12	20:32				
片町	07:11	07:51	08:41	09:31	10:11	10:51	11:56	13:06	14:16	14:56	15:31	16:26	17:16	18:16	19:16	20:36				
香林坊（日銀前）	07:13	07:53	08:43	09:33	10:13	10:53	11:58	13:08	14:18	14:58	15:33	16:28	17:18	18:18	19:18	20:38				
南町-B	07:15	07:55	08:45	09:35	10:15	10:55	12:00	13:10	14:20	15:00	15:35	16:30	17:20	18:20	19:20	20:40				
武蔵ヶ辻（めいてつエムザ前）	07:17	07:57	08:47	09:37	10:17	10:57	12:02	13:12	14:22	15:02	15:37	16:32	17:22	18:22	19:22	20:42				
リファーレ前-B	07:19	07:59	08:49	09:39	10:19	10:59	12:04	13:14	14:24	15:04	15:39	16:34	17:24	18:24	19:24	20:44				
金沢駅【降車場】	07:28	08:15	09:00	09:50	10:30	11:10	12:15	13:25	14:35	15:15	15:50	16:45	17:35	18:35	19:35	20:53				
