始発停留所	金沢駅【９】				
始発時間	20:40				
終点時間	21:18				
終点停留所	野々市駅（ＪＲ野々市駅南口ロータリー）				
備考					
金沢駅【９】	20:40				
リファーレ前-A	20:42				
武蔵ヶ辻（近江町市場前）	20:44				
南町-A	20:45				
香林坊（アトリオ前）	20:47				
片町（パシオン前）	20:50				
広小路（有松方向）	20:52				
野町-A	20:54				
泉一丁目-A	20:55				
泉二丁目-A	20:56				
有松（郵便局前）	20:57				
二万堂-A	20:58				
伏見橋（八日市方向）	21:00				
押野六丁目-A	21:02				
本押野-A	21:04				
八日市	21:06				
八日市住宅-B	21:07				
野代-A	21:08				
御経塚	21:09				
押野中央-A	-				
押野北-A	-				
八日市１丁目	-				
押越-A	-				
野代２丁目	-				
野々市駅（ＪＲ野々市駅南口ロータリー）	21:18				
