始発停留所	宇野気駅	宇野気駅	宇野気駅	宇野気駅	
始発時間	06:40	07:45	15:38	17:55	
終点時間	07:55	09:00	16:53	19:10	
終点停留所	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
宇野気駅	06:40	07:45	15:38	17:55	
かほく市役所前-B	06:41	07:46	15:39	17:56	
宇野気交番前-B	06:43	07:48	15:41	17:58	
内日角-B	06:44	07:49	15:42	17:59	
大崎北口（内灘駅方向）	06:45	07:50	15:43	18:00	
大崎公民館前-B	06:46	07:51	15:44	18:01	
大崎-A	06:47	07:52	15:45	18:02	
大崎南口-B	06:48	07:53	15:46	18:03	
大崎光宝台-B	06:49	07:54	15:47	18:04	
室-B	06:50	07:55	15:48	18:05	
勤労者青少年ホーム-B	06:51	07:56	15:49	18:06	
西荒屋-B	06:52	07:57	15:50	18:07	
西荒屋小学校前-B	06:53	07:58	15:51	18:08	
黒津船	06:55	08:00	15:53	18:10	
宮坂	06:56	08:01	15:54	18:11	
大根布五丁目-B	06:58	08:03	15:56	18:13	
大根布四丁目-B	06:59	08:04	15:57	18:14	
大根布-B	07:00	08:05	15:58	18:15	
大根布一丁目-B	07:01	08:06	15:59	18:16	
内灘中学校前-B	07:02	08:07	16:00	18:17	
鶴ケ丘四丁目（内灘駅方向）	07:04	08:09	16:02	18:19	
向陽台（マルエー向）	07:06	08:11	16:04	18:21	
内灘駅（内灘駅向い）	07:07	08:12	16:05	18:22	
向粟崎-B	07:08	08:13	16:06	18:23	
旭ケ丘（市内方向）	07:09	08:14	16:07	18:24	
粟崎二丁目-B	07:10	08:15	16:08	18:25	
粟崎一丁目-B	07:11	08:16	16:09	18:26	
粟崎南口-B	07:12	08:17	16:10	18:27	
湊三丁目-B	07:13	08:18	16:11	18:28	
近岡北-B	07:14	08:19	16:12	18:29	
近岡-B	07:15	08:20	16:13	18:30	
直江-B	07:16	08:21	16:14	18:31	
西割出-B	07:17	08:22	16:15	18:32	
三浦住宅前-B	07:18	08:23	16:16	18:33	
南新保口-B	07:20	08:25	16:18	18:36	
上諸江-B	07:22	08:27	16:20	18:38	
諸江町小学校前-B	07:23	08:28	16:21	18:39	
北安江-B	07:24	08:29	16:22	18:40	
金沢駅西口降車	07:28	08:33	16:26	18:45	
金沢駅西口【５】	07:28	08:33	16:26	18:45	
広岡口（中橋方向）	07:30	08:35	16:28	18:47	
中橋-B	07:31	08:36	16:29	18:48	
六枚町（こんや湯前）	07:33	08:38	16:31	18:50	
武蔵ヶ辻（三井住友銀行前）	07:36	08:41	16:34	18:53	
南町-A	07:38	08:43	16:36	18:55	
香林坊（中央公園前）	07:40	08:45	16:38	18:57	
広坂（しいのき迎賓館前）	07:42	08:47	16:40	18:59	
兼六園下（北鉄車庫前）	07:55	09:00	16:53	19:10	
