始発停留所	金沢駅西口【４】	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）	兼六園下（石川門）				
始発時間	06:50	14:00	16:10	17:45	19:10	19:40				
終点時間	07:38	15:09	17:22	18:57	19:52	20:49				
終点停留所	宇野気駅	宇野気駅	宇野気駅	宇野気駅	内灘駅（ターミナル内）	宇野気駅				
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				
兼六園下（石川門）		14:00	16:10	17:45	19:10	19:40				
広坂（金沢２１世紀美術館前）		14:02	16:12	17:47	19:12	19:42				
香林坊（日銀前）		14:04	16:14	17:49	19:14	19:44				
南町-B		14:06	16:16	17:51	19:16	19:46				
武蔵ヶ辻（エムザ前）		14:08	16:18	17:53	19:18	19:48				
武蔵ヶ辻（スカイ前）		14:08	16:18	17:53	19:18	19:48				
六枚町（金石方向）		14:11	16:21	17:56	19:21	19:51				
広岡口（朱鷺の苑前）		14:13	16:23	17:58	19:23	19:53				
金沢駅西口降車		14:17	16:27	18:02	19:27	19:57				
金沢駅西口【４】	06:50	14:17	16:27	18:02	19:27	19:57				
北安江-A	06:51	14:19	16:29	18:04	19:29	19:59				
諸江町小学校前-A	06:52	14:20	16:30	18:05	19:30	20:00				
上諸江-A	06:53	14:21	16:31	18:06	19:31	20:01				
南新保口-A	06:55	14:23	16:34	18:09	19:33	20:03				
三浦住宅前-A	06:57	14:25	16:37	18:12	19:35	20:05				
西割出-A	06:59	14:26	16:39	18:14	19:36	20:06				
直江-A	07:00	14:27	16:40	18:15	19:37	20:07				
近岡-A	07:01	14:28	16:41	18:16	19:38	20:08				
近岡北-A	07:02	14:29	16:42	18:17	19:39	20:09				
湊三丁目-A	07:04	14:31	16:44	18:19	19:41	20:11				
粟崎南口-A	07:05	14:32	16:45	18:20	19:42	20:12				
粟崎一丁目-A	07:07	14:34	16:47	18:22	19:44	20:14				
粟崎二丁目-A	07:08	14:35	16:48	18:23	19:45	20:15				
旭ケ丘（向粟ケ崎方向）	07:08	14:36	16:49	18:24	19:45	20:16				
向粟崎-A	07:09	14:37	16:50	18:25	19:46	20:17				
内灘駅（ターミナル内）	07:10	14:39	16:53	18:28	19:52	20:19				
向陽台（マルエー前）	07:11	14:40	16:54	18:29		20:20				
鶴ケ丘四丁目（宇ノ気方向）	07:13	14:42	16:56	18:31		20:22				
内灘中学校前-A	07:14	14:43	16:57	18:32		20:23				
大根布一丁目-A	07:15	14:44	16:58	18:33		20:24				
大根布-A	07:16	14:45	16:59	18:34		20:25				
大根布四丁目-A	07:17	14:46	17:00	18:35		20:26				
大根布五丁目-A	07:18	14:47	17:01	18:36		20:27				
宮坂	07:20	14:49	17:03	18:38		20:29				
黒津船	07:21	14:50	17:04	18:39		20:30				
西荒屋小学校前-A	07:23	14:52	17:06	18:41		20:32				
西荒屋-A	07:24	14:53	17:07	18:42		20:33				
勤労者青少年ホーム-A	07:25	14:54	17:08	18:43		20:34				
室-A	07:26	14:55	17:09	18:44		20:35				
大崎光宝台-A	07:27	14:56	17:10	18:45		20:36				
大崎南口-A	07:28	14:57	17:11	18:46		20:37				
大崎-A	07:29	14:58	17:12	18:47		20:38				
大崎公民館前-A	07:30	14:59	17:13	18:48		20:39				
大崎北口（宇ノ気方向）	07:31	15:00	17:14	18:49		20:40				
内日角-A	07:32	15:01	17:15	18:50		20:41				
宇野気交番前-A	07:33	15:02	17:16	18:51		20:42				
かほく市役所前-A	07:35	15:04	17:18	18:53		20:44				
宇野気駅	07:38	15:09	17:22	18:57		20:49				
