始発停留所	金沢駅西口【４】	兼六園下（石川門向い）	兼六園下（石川門向い）	兼六園下（石川門向い）	
始発時間	06:50	14:10	16:15	17:55	
終点時間	07:38	15:19	17:27	19:07	
終点停留所	宇野気駅	宇野気駅	宇野気駅	宇野気駅	
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	
兼六園下（石川門向い）		14:10	16:15	17:55	
広坂（金沢２１世紀美術館前）		14:12	16:17	17:57	
香林坊（日銀前）		14:14	16:19	17:59	
南町-B		14:16	16:21	18:01	
武蔵ヶ辻（めいてつエムザ前）		14:18	16:23	18:03	
武蔵ヶ辻（ホリデイ・イン金沢前）		14:18	16:23	18:03	
六枚町（金石方向）		14:21	16:26	18:06	
広岡口（朱鷺の苑前）		14:23	16:28	18:08	
金沢駅西口降車		14:27	16:32	18:12	
金沢駅西口【４】	06:50	14:27	16:32	18:12	
北安江-A	06:51	14:29	16:34	18:14	
諸江町小学校前-A	06:52	14:30	16:35	18:15	
上諸江-A	06:53	14:31	16:36	18:16	
南新保口-A	06:55	14:33	16:39	18:19	
三浦住宅前-A	06:57	14:35	16:42	18:22	
西割出-A	06:59	14:36	16:44	18:24	
直江-A	07:00	14:37	16:45	18:25	
近岡-A	07:01	14:38	16:46	18:26	
近岡北-A	07:02	14:39	16:47	18:27	
湊三丁目-A	07:04	14:41	16:49	18:29	
粟崎南口-A	07:05	14:42	16:50	18:30	
粟崎一丁目-A	07:07	14:44	16:52	18:32	
粟崎二丁目-A	07:08	14:45	16:53	18:33	
旭ケ丘（向粟ケ崎方向）	07:08	14:46	16:54	18:34	
向粟崎-A	07:09	14:47	16:55	18:35	
内灘駅（ターミナル内）	07:10	14:49	16:58	18:38	
向陽台（マルエー前）	07:11	14:50	16:59	18:39	
鶴ケ丘四丁目（宇ノ気方向）	07:13	14:52	17:01	18:41	
内灘中学校前-A	07:14	14:53	17:02	18:42	
大根布一丁目-A	07:15	14:54	17:03	18:43	
大根布-A	07:16	14:55	17:04	18:44	
大根布四丁目-A	07:17	14:56	17:05	18:45	
大根布五丁目-A	07:18	14:57	17:06	18:46	
宮坂	07:20	14:59	17:08	18:48	
黒津船	07:21	15:00	17:09	18:49	
西荒屋小学校前-A	07:23	15:02	17:11	18:51	
西荒屋-A	07:24	15:03	17:12	18:52	
勤労者青少年ホーム-A	07:25	15:04	17:13	18:53	
室-A	07:26	15:05	17:14	18:54	
大崎光宝台-A	07:27	15:06	17:15	18:55	
大崎南口-A	07:28	15:07	17:16	18:56	
大崎-A	07:29	15:08	17:17	18:57	
大崎公民館前-A	07:30	15:09	17:18	18:58	
大崎北口（宇ノ気方向）	07:31	15:10	17:19	18:59	
内日角-A	07:32	15:11	17:20	19:00	
宇野気交番前-A	07:33	15:12	17:21	19:01	
かほく市役所前-A	07:35	15:14	17:23	19:03	
宇野気駅	07:38	15:19	17:27	19:07	
